11/06/2018, Youngstown St. ,W 69 - 53 
11/09/2018, VMI ,W 94 - 55 
11/12/2018, Troy ,W 84 - 75 
11/15/2018, Central Ark. ,W 97 - 71 
11/17/2018, North Ala. ,W 71 - 66 
11/21/2018, Saint Louis ,W 75 - 73 
11/27/2018,@ Iowa ,L 68 - 69 
11/30/2018, Duquesne ,W 74 - 53 
12/03/2018, Niagara ,L 70 - 71 
12/08/2018,@ West Virginia ,L 59 - 69 
12/15/2018, UMES ,W 78 - 43 
12/20/2018, New Orleans ,W 99 - 57 
12/29/2018, Colgate ,W 68 - 54 
01/05/2019, North Carolina ,L 60 - 85 
01/09/2019, Louisville ,W 89 - 86 (1OT)
01/12/2019,@ NC State ,L 80 - 86 
01/14/2019, Florida St. ,W 75 - 62 
01/19/2019,@ Syracuse ,L 63 - 74 
01/22/2019, Duke ,L 64 - 79 
01/26/2019,@ Louisville ,L 51 - 66 
01/29/2019,@ Clemson ,L 69 - 82 
02/02/2019, Syracuse ,L 56 - 65 
02/05/2019,@ Wake Forest ,L 76 - 78 (1OT)
02/09/2019, NC State ,L 76 - 79 
02/12/2019,@ Boston College ,L 57 - 66 
02/16/2019, Virginia Tech ,L 64 - 70 
02/20/2019,@ Georgia Tech ,L 65 - 73 
02/27/2019, Clemson ,L 48 - 62 
03/02/2019,@ Virginia ,L 49 - 73 
03/05/2019,@ Miami (FL) ,L 63 - 76 
03/09/2019, Notre Dame ,W 56 - 53 
03/12/2019, Boston College ,W 80 - 70 
03/13/2019, Syracuse ,L 59 - 73 
