11/06/2018, Cal St. Fullerton ,W 102 - 94 (2OT)
11/09/2018, McNeese ,W 80 - 52 
11/12/2018, Long Beach St. ,W 90 - 58 
11/19/2018, Mississippi St. ,W 72 - 67 
11/21/2018, Utah St. ,W 87 - 82 
11/28/2018, Omaha ,W 89 - 71 
12/01/2018, Texas Southern ,W 83 - 71 
12/07/2018, Nevada ,L 66 - 72 
12/15/2018,@ Georgia ,W 76 - 74 
12/17/2018,@ Vanderbilt ,L 65 - 81 
12/22/2018, Kansas ,W 80 - 76 
12/29/2018, Princeton ,L 66 - 67 
01/03/2019, Utah ,L 86 - 96 
01/05/2019, Colorado ,W 83 - 61 
01/09/2019,@ California ,W 80 - 66 
01/12/2019,@ Stanford ,L 71 - 85 
01/17/2019, Oregon St. ,W 70 - 67 
01/19/2019, Oregon ,W 78 - 64 
01/24/2019,@ UCLA ,W 84 - 73 
01/26/2019,@ Southern California ,L 67 - 69 
01/31/2019, Arizona ,W 95 - 88 (1OT)
02/07/2019, Washington St. ,L 70 - 91 
02/09/2019, Washington ,W 75 - 63 
02/13/2019,@ Colorado ,L 73 - 77 
02/16/2019,@ Utah ,W 98 - 87 
02/20/2019, Stanford ,W 80 - 62 
02/24/2019, California ,W 69 - 59 
02/28/2019,@ Oregon ,L 51 - 79 
03/03/2019,@ Oregon St. ,W 74 - 71 
03/09/2019,@ Arizona ,W 72 - 64 
03/14/2019, UCLA ,W 83 - 72 
03/15/2019, Oregon ,L 75 - 79 (1OT)
