11/06/2018, South Alabama ,W 101 - 58 
11/09/2018, Washington ,W 88 - 66 
11/14/2018, Mississippi Col. ,W 103 - 52 
11/19/2018, Xavier ,W 88 - 79 (1OT)
11/20/2018, Duke ,L 72 - 78 
11/21/2018, Arizona ,W 73 - 57 
11/28/2018, Saint Peter's ,W 99 - 49 
12/04/2018, UNC Asheville ,W 67 - 41 
12/08/2018, Dayton ,W 82 - 72 
12/15/2018, UAB ,W 75 - 71 (1OT)
12/19/2018,@ NC State ,L 71 - 78 
12/22/2018, Murray St. ,W 93 - 88 
12/29/2018, North Florida ,W 95 - 49 
01/09/2019,@ Ole Miss ,L 67 - 82 
01/12/2019, Georgia ,W 93 - 78 
01/16/2019,@ Texas A&M ,W 85 - 66 
01/19/2019, Kentucky ,L 80 - 82 
01/22/2019,@ South Carolina ,L 77 - 80 
01/26/2019,@ Mississippi St. ,L 84 - 92 
01/30/2019, Missouri ,W 92 - 58 
02/02/2019, Alabama ,W 84 - 63 
02/05/2019, Florida ,W 76 - 62 
02/09/2019,@ LSU ,L 78 - 83 
02/13/2019, Ole Miss ,L 55 - 60 
02/16/2019,@ Vanderbilt ,W 64 - 53 
02/20/2019, Arkansas ,W 79 - 56 
02/23/2019,@ Kentucky ,L 53 - 80 
02/27/2019,@ Georgia ,W 78 - 75 
03/02/2019, Mississippi St. ,W 80 - 75 
03/05/2019,@ Alabama ,W 66 - 60 
03/09/2019, Tennessee ,W 84 - 80 
03/14/2019, Missouri ,W 81 - 71 
03/15/2019, South Carolina ,W 73 - 64 
03/16/2019, Florida ,W 65 - 62 
03/17/2019, Tennessee ,W 84 - 64 
