11/06/2018, Texas Southern ,L 69 - 72 
11/10/2018, Southern U. ,W 80 - 53 
11/12/2018, Prairie View ,W 91 - 80 
11/16/2018, Nicholls St. ,W 81 - 54 
11/23/2018, Ole Miss ,L 70 - 78 
11/24/2018, George Mason ,W 72 - 61 
11/27/2018, South Dakota ,W 63 - 57 
12/01/2018,@ Wichita St. ,L 63 - 71 
12/15/2018,@ Arizona ,W 58 - 49 
12/18/2018, SFA ,L 58 - 59 
12/21/2018, Oregon ,W 57 - 47 
12/29/2018, New Orleans ,W 84 - 44 
01/05/2019,@ TCU ,L 81 - 85 
01/08/2019, Iowa St. ,W 73 - 70 
01/12/2019, Kansas ,L 68 - 73 
01/14/2019,@ Oklahoma St. ,W 73 - 69 
01/19/2019, Texas Tech ,W 73 - 62 
01/21/2019,@ West Virginia ,W 85 - 73 
01/26/2019, Alabama ,W 73 - 68 
01/28/2019,@ Oklahoma ,W 77 - 47 
02/02/2019, TCU ,W 90 - 64 
02/06/2019,@ Texas ,L 72 - 84 
02/09/2019, Kansas St. ,L 63 - 70 
02/11/2019, Oklahoma ,W 59 - 53 
02/16/2019,@ Texas Tech ,L 61 - 86 
02/19/2019,@ Iowa St. ,W 73 - 69 
02/23/2019, West Virginia ,W 82 - 75 
02/27/2019, Texas ,W 84 - 83 (1OT)
03/02/2019,@ Kansas St. ,L 60 - 66 
03/06/2019, Oklahoma St. ,L 64 - 67 
03/09/2019,@ Kansas ,L 70 - 78 
03/14/2019, Iowa St. ,L 66 - 83 
