11/10/2018, Illinois St. ,W 100 - 89 
11/12/2018, Middle Tenn. ,W 92 - 73 
11/15/2018,@ Lipscomb ,W 87 - 83 
11/20/2018, Trevecca Nazarene ,W 104 - 50 
11/24/2018,@ Kennesaw St. ,W 91 - 53 
11/29/2018,@ Samford ,W 99 - 93 (1OT)
12/01/2018,@ Green Bay ,L 92 - 100 
12/04/2018, Lipscomb ,W 76 - 74 
12/15/2018,@ UCLA ,W 74 - 72 
12/19/2018, Western Ky. ,W 80 - 74 
12/29/2018,@ Purdue ,L 62 - 73 
01/03/2019, Jacksonville St. ,L 73 - 83 
01/05/2019, Tennessee Tech ,W 79 - 67 
01/10/2019, Morehead St. ,W 77 - 60 
01/12/2019, Eastern Ky. ,W 109 - 93 
01/17/2019,@ Jacksonville St. ,L 80 - 91 (1OT)
01/19/2019, Tennessee St. ,W 92 - 74 
01/24/2019,@ Murray St. ,W 79 - 66 
01/26/2019,@ Austin Peay ,W 96 - 92 
01/31/2019, Southeast Mo. St. ,W 97 - 71 
02/02/2019, UT Martin ,W 82 - 67 
02/07/2019,@ Eastern Ky. ,W 83 - 65 
02/09/2019,@ Morehead St. ,W 96 - 86 
02/14/2019,@ Tennessee St. ,W 77 - 66 
02/16/2019,@ Tennessee Tech ,W 93 - 65 
02/21/2019, Eastern Ill. ,W 99 - 58 
02/23/2019, SIUE ,W 97 - 75 
02/28/2019,@ UT Martin ,W 112 - 67 
03/02/2019,@ Southeast Mo. St. ,W 84 - 66 
03/08/2019, Austin Peay ,W 83 - 67 
03/09/2019, Murray St. ,L 65 - 77 
