11/06/2018, Saint Francis (PA) ,W 82 - 67 
11/09/2018,@ West Virginia ,W 99 - 94 (1OT)
11/12/2018,@ Southern Ill. ,W 62 - 53 
11/21/2018, Dartmouth ,W 110 - 71 
11/24/2018, Marist ,W 76 - 49 
11/30/2018, Milwaukee ,W 96 - 77 
12/01/2018, San Francisco ,W 85 - 81 
12/05/2018, Le Moyne ,W 89 - 55 
12/08/2018,@ St. Bonaventure ,W 80 - 62 
12/15/2018, Southern Ill. ,W 73 - 65 
12/18/2018,@ Syracuse ,W 71 - 59 
12/21/2018,@ Marquette ,L 85 - 103 
12/29/2018,@ Canisius ,W 87 - 72 
01/04/2019,@ Eastern Mich. ,W 74 - 58 
01/08/2019, Toledo ,W 110 - 80 
01/12/2019, Miami (OH) ,W 88 - 64 
01/15/2019,@ Western Mich. ,W 88 - 79 
01/18/2019, Eastern Mich. ,W 77 - 65 
01/22/2019,@ Northern Ill. ,L 75 - 77 
01/25/2019,@ Kent St. ,W 88 - 79 
01/29/2019, Ball St. ,W 83 - 59 
02/02/2019,@ Bowling Green ,L 88 - 92 
02/09/2019, Central Mich. ,W 90 - 76 
02/12/2019,@ Akron ,W 76 - 70 
02/15/2019,@ Toledo ,W 88 - 82 
02/19/2019, Ohio ,W 114 - 67 
02/22/2019, Kent St. ,W 80 - 57 
02/26/2019, Akron ,W 77 - 64 
03/01/2019,@ Miami (OH) ,W 77 - 69 
03/05/2019,@ Ohio ,W 82 - 79 
03/08/2019, Bowling Green ,W 84 - 73 
03/14/2019, Akron ,W 82 - 46 
03/15/2019, Central Mich. ,W 85 - 81 
03/16/2019, Bowling Green ,W 87 - 73 
