11/07/2018, Ohio St. ,L 56 - 64 
11/13/2018, N.C. Central ,W 73 - 51 
11/16/2018, Milwaukee ,W 74 - 63 
11/19/2018, Western Mich. ,W 78 - 52 
11/23/2018, George Mason ,W 71 - 55 
11/24/2018, Ole Miss ,W 71 - 57 
11/27/2018, Ark.-Pine Bluff ,W 105 - 49 
12/01/2018,@ UNLV ,W 65 - 61 
12/04/2018, Northern Ky. ,W 78 - 65 
12/08/2018, Xavier ,W 62 - 47 
12/15/2018,@ Mississippi St. ,L 59 - 70 
12/19/2018, UCLA ,W 93 - 64 
12/22/2018, South Carolina St. ,W 77 - 56 
01/02/2019, Tulane ,W 93 - 61 
01/05/2019,@ East Carolina ,L 71 - 73 
01/10/2019,@ Tulsa ,W 70 - 65 (1OT)
01/12/2019, UConn ,W 74 - 72 (1OT)
01/15/2019, South Fla. ,W 82 - 74 
01/19/2019,@ Wichita St. ,W 66 - 55 
01/24/2019, Tulsa ,W 88 - 64 
01/27/2019,@ Temple ,W 72 - 68 
02/02/2019, SMU ,W 73 - 68 
02/07/2019,@ Memphis ,W 69 - 64 
02/10/2019,@ Houston ,L 58 - 65 
02/17/2019, Wichita St. ,W 72 - 62 
02/21/2019, UCF ,W 60 - 55 
02/24/2019,@ UConn ,W 64 - 60 
02/27/2019,@ SMU ,W 52 - 49 
03/02/2019, Memphis ,W 71 - 69 
03/07/2019,@ UCF ,L 55 - 58 
03/10/2019, Houston ,L 69 - 85 
03/15/2019, SMU ,W 82 - 74 
03/16/2019, Wichita St. ,W 66 - 63 
03/17/2019, Houston ,W 69 - 57 
