11/06/2018,@ NJIT ,L 78 - 81 (1OT)
11/09/2018, Monmouth ,W 87 - 74 
11/11/2018,@ Cornell ,W 73 - 57 
11/14/2018, Nazareth ,W 86 - 68 
11/19/2018, Binghamton ,W 76 - 68 
11/21/2018,@ Syracuse ,L 56 - 77 
11/24/2018,@ Siena ,W 84 - 79 
11/30/2018,@ South Fla. ,L 63 - 73 
12/02/2018,@ FGCU ,W 74 - 56 
12/05/2018,@ Columbia ,W 64 - 62 
12/08/2018,@ Penn St. ,L 65 - 76 
12/15/2018, Marist ,W 82 - 66 
12/29/2018,@ Pittsburgh ,L 54 - 68 
01/03/2019,@ Navy ,L 66 - 72 
01/06/2019, American ,W 73 - 69 
01/09/2019,@ Bucknell ,L 81 - 84 
01/12/2019, Lehigh ,W 91 - 78 
01/16/2019,@ Army West Point ,L 81 - 91 
01/19/2019,@ Boston U. ,W 77 - 56 
01/23/2019, Lafayette ,W 57 - 47 
01/26/2019,@ Loyola Maryland ,L 72 - 79 (1OT)
01/30/2019, Army West Point ,W 76 - 56 
02/02/2019, Boston U. ,L 68 - 76 
02/04/2019,@ Lehigh ,W 84 - 62 
02/09/2019, Loyola Maryland ,W 75 - 72 
02/13/2019,@ Holy Cross ,W 74 - 70 
02/16/2019,@ American ,W 83 - 81 (1OT)
02/19/2019, Bucknell ,W 75 - 64 
02/23/2019, Navy ,W 93 - 71 
02/27/2019, Holy Cross ,W 79 - 59 
03/02/2019,@ Lafayette ,W 76 - 70 
03/07/2019, Boston U. ,W 81 - 69 
03/10/2019, Navy ,W 80 - 70 
03/13/2019, Bucknell ,W 94 - 80 
