11/06/2018, Kentucky ,W 118 - 84 
11/11/2018, Army West Point ,W 94 - 72 
11/14/2018, Eastern Mich. ,W 84 - 46 
11/19/2018, San Diego St. ,W 90 - 64 
11/20/2018, Auburn ,W 78 - 72 
11/21/2018, Gonzaga ,L 87 - 89 
11/27/2018, Indiana ,W 90 - 69 
12/01/2018, Stetson ,W 113 - 49 
12/05/2018, Hartford ,W 84 - 54 
12/08/2018, Yale ,W 91 - 58 
12/18/2018, Princeton ,W 101 - 50 
12/20/2018, Texas Tech ,W 69 - 58 
01/05/2019, Clemson ,W 87 - 68 
01/08/2019,@ Wake Forest ,W 87 - 65 
01/12/2019,@ Florida St. ,W 80 - 78 
01/14/2019, Syracuse ,L 91 - 95 (1OT)
01/19/2019, Virginia ,W 72 - 70 
01/22/2019,@ Pittsburgh ,W 79 - 64 
01/26/2019, Georgia Tech ,W 66 - 53 
01/28/2019,@ Notre Dame ,W 83 - 61 
02/02/2019, St. John's (NY) ,W 91 - 61 
02/05/2019, Boston College ,W 80 - 55 
02/09/2019,@ Virginia ,W 81 - 71 
02/12/2019,@ Louisville ,W 71 - 69 
02/16/2019, NC State ,W 94 - 78 
02/20/2019, North Carolina ,L 72 - 88 
02/23/2019,@ Syracuse ,W 75 - 65 
02/26/2019,@ Virginia Tech ,L 72 - 77 
03/02/2019, Miami (FL) ,W 87 - 57 
03/05/2019, Wake Forest ,W 71 - 70 
03/09/2019,@ North Carolina ,L 70 - 79 
03/14/2019, Syracuse ,W 84 - 72 
03/15/2019, North Carolina ,W 74 - 73 
03/16/2019, Florida St. ,W 73 - 63 
