11/09/2018,@ Rutgers ,L 55 - 90 
11/14/2018, Queens (NY) ,W 87 - 48 
11/16/2018, NYIT ,W 85 - 57 
11/21/2018,@ Princeton ,W 77 - 66 
11/25/2018, Lafayette ,L 76 - 80 
11/27/2018,@ Providence ,L 59 - 69 
12/01/2018,@ Holy Cross ,L 49 - 67 
12/12/2018, Army West Point ,W 93 - 84 
12/15/2018, NJIT ,L 80 - 90 
12/19/2018, Saint Peter's ,W 83 - 74 
12/21/2018,@ Massachusetts ,L 84 - 85 
12/29/2018,@ South Fla. ,L 54 - 60 
01/03/2019,@ Robert Morris ,L 62 - 69 
01/05/2019,@ Saint Francis (PA) ,W 79 - 61 
01/10/2019, Central Conn. St. ,L 96 - 103 (2OT)
01/12/2019,@ Wagner ,L 60 - 66 
01/19/2019,@ LIU Brooklyn ,L 77 - 79 
01/21/2019, Mount St. Mary's ,W 87 - 69 
01/24/2019, St. Francis Brooklyn ,W 60 - 58 
01/26/2019,@ Bryant ,W 78 - 63 
01/31/2019, LIU Brooklyn ,W 80 - 77 
02/02/2019, Robert Morris ,W 97 - 94 (2OT)
02/07/2019,@ Sacred Heart ,L 63 - 69 
02/09/2019,@ St. Francis Brooklyn ,W 84 - 73 
02/14/2019, Saint Francis (PA) ,L 62 - 87 
02/16/2019, Bryant ,W 97 - 84 
02/21/2019, Sacred Heart ,W 81 - 63 
02/23/2019, Wagner ,W 74 - 66 
02/28/2019,@ Mount St. Mary's ,W 65 - 59 
03/02/2019,@ Central Conn. St. ,W 70 - 58 
03/06/2019, Wagner ,W 84 - 46 
03/09/2019, Robert Morris ,W 66 - 62 
03/12/2019,@ Saint Francis (PA) ,W 85 - 76 
