11/06/2018, ETSU ,W 74 - 68
11/09/2018,@ Montana ,L 74 - 81
11/13/2018, Mercer ,W 62 - 60
11/19/2018, St. Bonaventure ,W 75 - 65
11/20/2018, Creighton ,L 68 - 93
11/21/2018, Georgia ,W 91 - 67
11/28/2018,@ Tulane ,W 80 - 76
12/01/2018,@ Liberty ,L 52 - 78
12/04/2018,@ Alabama ,W 83 - 80
12/12/2018, Chattanooga ,W 95 - 88
12/15/2018,@ Kansas St. ,L 59 - 71
12/19/2018, UNCW ,W 86 - 71
12/29/2018, Middle Ga. St. ,W 117 - 69
01/03/2019,@ UT Arlington ,W 63 - 58
01/05/2019,@ Texas St. ,W 73 - 69
01/10/2019, Louisiana ,W 89 - 76
01/12/2019, La.-Monroe ,W 74 - 73
01/17/2019,@ South Alabama ,W 69 - 66
01/19/2019,@ Troy ,L 75 - 77
01/24/2019, Texas St. ,L 68 - 81
01/26/2019, UT Arlington ,W 77 - 71
02/02/2019, Ga. Southern ,W 81 - 72
02/06/2019,@ La.-Monroe ,L 76 - 82
02/08/2019,@ Louisiana ,L 72 - 76
02/13/2019, Troy ,W 77 - 63
02/15/2019, South Alabama ,W 90 - 81
02/21/2019, Appalachian St. ,W 80 - 75 
02/23/2019,@ Coastal Caro. ,L 82 - 95
02/28/2019, Arkansas St. ,W 76 - 60
03/02/2019, Little Rock ,W 83 - 70
03/09/2019,@ Ga. Southern ,W 90 - 85
03/16/2019, Texas St. ,W 59 - 46
03/17/2019, UT Arlington ,W 73 - 64
