11/06/2018, Idaho St. ,W 120 - 79
11/10/2018, Texas Southern ,W 104 - 67
11/15/2018, Texas A&M ,W 94 - 71
11/19/2018, Illinois ,W 84 - 78
11/20/2018, Arizona ,W 91 - 74
11/21/2018, Duke ,W 89 - 87
11/26/2018, North Dakota St. ,W 102 - 60
12/01/2018,@ Creighton ,W 103 - 92
12/05/2018, Washington ,W 81 - 79
12/09/2018, Tennessee ,L 73 - 76
12/15/2018,@ North Carolina ,L 90 - 103
12/18/2018, UT Arlington ,W 89 - 55
12/21/2018, Denver ,W 101 - 40
12/28/2018, North Ala. ,W 96 - 51
12/31/2018, CSU Bakersfield ,W 89 - 54
01/05/2019, Santa Clara ,W 91 - 48
01/10/2019, Pacific ,W 67 - 36
01/12/2019,@ San Francisco ,W 96 - 83
01/17/2019, Loyola Marymount ,W 73 - 55
01/19/2019,@ Portland ,W 89 - 66
01/24/2019,@ Santa Clara ,W 98 - 39
01/31/2019,@ BYU ,W 93 - 63
02/02/2019, San Diego ,W 85 - 69
02/07/2019, San Francisco ,W 92 - 62
02/09/2019, Saint Mary's (CA) ,W 94 - 46
02/14/2019,@ Loyola Marymount ,W 73 - 60
02/16/2019,@ San Diego ,W 79 - 67
02/21/2019, Pepperdine ,W 92 - 64
02/23/2019, BYU ,W 102 - 68
02/28/2019,@ Pacific ,W 86 - 66
03/02/2019,@ Saint Mary's (CA) ,W 69 - 55
03/11/2019, Pepperdine ,W 100 - 74
03/12/2019, Saint Mary's (CA) ,L 47 - 60
