11/10/2018, Alabama A&M ,W 101 - 54 
11/14/2018, Rice ,W 79 - 68 
11/19/2018, Northwestern St. ,W 82 - 55 
11/24/2018,@ BYU ,W 76 - 62 
11/28/2018, UTRGV ,W 58 - 53 
12/01/2018, Oregon ,W 65 - 61 
12/04/2018, Lamar University ,W 79 - 56 
12/08/2018,@ Oklahoma St. ,W 63 - 53 
12/12/2018, LSU ,W 82 - 76 
12/16/2018, Saint Louis ,W 68 - 64 
12/20/2018, Utah St. ,W 60 - 50 
12/23/2018, Coppin St. ,W 75 - 44 
12/29/2018, NJIT ,W 80 - 59 
01/02/2019, Tulsa ,W 74 - 56 
01/06/2019, Memphis ,W 90 - 77 
01/09/2019,@ Temple ,L 69 - 73 
01/12/2019, Wichita St. ,W 79 - 70 
01/16/2019,@ SMU ,W 69 - 58 
01/19/2019,@ South Fla. ,W 69 - 60 
01/23/2019, East Carolina ,W 94 - 50 
01/27/2019,@ Tulsa ,W 77 - 65 
01/31/2019, Temple ,W 73 - 66 
02/07/2019,@ UCF ,W 77 - 68 
02/10/2019, Cincinnati ,W 65 - 58 
02/14/2019,@ UConn ,W 71 - 63 
02/17/2019,@ Tulane ,W 85 - 50 
02/23/2019, South Fla. ,W 71 - 59 
02/27/2019,@ East Carolina ,W 99 - 65 
03/02/2019, UCF ,L 64 - 69 
03/07/2019, SMU ,W 90 - 79 
03/10/2019,@ Cincinnati ,W 85 - 69 
03/15/2019, UConn ,W 84 - 45 
03/16/2019, Memphis ,W 61 - 58 
03/17/2019, Cincinnati ,L 57 - 69 
