11/09/2018, Albany (NY) ,W 72 - 68 
11/13/2018,@ New Mexico ,L 83 - 90 
11/19/2018, Long Beach St. ,L 85 - 86 
11/21/2018, Hartford ,W 80 - 75 
11/24/2018,@ Providence ,L 79 - 91 
11/27/2018,@ Ohio ,L 65 - 89 
12/01/2018,@ VCU ,L 59 - 88 
12/09/2018, Columbia ,L 71 - 74 
12/15/2018, Princeton ,L 81 - 85 
12/22/2018,@ Yale ,L 84 - 99 
12/30/2018, Holy Cross ,L 71 - 78 
01/03/2019, Monmouth ,W 103 - 84 
01/05/2019, Fairfield ,W 94 - 87 
01/11/2019,@ Niagara ,L 90 - 95 
01/13/2019,@ Canisius ,W 88 - 70 
01/18/2019, Marist ,W 90 - 77 
01/20/2019,@ Monmouth ,L 81 - 83 
01/25/2019, Rider ,W 77 - 71 
01/27/2019,@ Fairfield ,L 68 - 80 
01/31/2019,@ Marist ,L 74 - 78 
02/02/2019, Siena ,L 54 - 56 
02/08/2019, Quinnipiac ,L 65 - 66 
02/10/2019, Niagara ,W 79 - 76 
02/13/2019,@ Siena ,W 57 - 52 
02/15/2019, Saint Peter's ,W 62 - 46 
02/19/2019,@ Quinnipiac ,W 81 - 77 
02/22/2019,@ Manhattan ,W 66 - 52 
02/24/2019, Canisius ,W 87 - 80 
03/01/2019,@ Rider ,W 86 - 79 
03/08/2019, Saint Peter's ,W 73 - 71 
03/10/2019,@ Siena ,W 73 - 57 
03/11/2019, Monmouth ,W 81 - 60 
