11/06/2018, Alabama St. ,W 79 - 53 
11/09/2018, Missouri ,W 76 - 59 
11/12/2018, Texas Southern ,W 85 - 73 
11/19/2018, Arizona ,L 66 - 71 
11/20/2018, Illinois ,W 84 - 68 
11/21/2018, San Diego St. ,W 87 - 57 
11/26/2018, Omaha ,W 82 - 55 
12/03/2018, North Dakota St. ,W 81 - 59 
12/06/2018,@ Iowa ,L 84 - 98 
12/09/2018, Southern U. ,W 101 - 65 
12/15/2018, Drake ,W 77 - 68 
12/21/2018, Eastern Ill. ,W 101 - 53 
01/02/2019,@ Oklahoma St. ,W 69 - 63 
01/05/2019, Kansas ,W 77 - 60 
01/08/2019,@ Baylor ,L 70 - 73 
01/12/2019, Kansas St. ,L 57 - 58 
01/16/2019,@ Texas Tech ,W 68 - 64 
01/19/2019, Oklahoma St. ,W 72 - 59 
01/21/2019,@ Kansas ,L 76 - 80 
01/26/2019,@ Ole Miss ,W 87 - 73 
01/30/2019, West Virginia ,W 93 - 68 
02/02/2019, Texas ,W 65 - 60 
02/04/2019,@ Oklahoma ,W 75 - 74 
02/09/2019, TCU ,L 83 - 92 
02/16/2019,@ Kansas St. ,W 78 - 64 
02/19/2019, Baylor ,L 69 - 73 
02/23/2019,@ TCU ,L 72 - 75 
02/25/2019, Oklahoma ,W 78 - 61 
03/02/2019,@ Texas ,L 69 - 86 
03/06/2019,@ West Virginia ,L 75 - 90 
03/09/2019, Texas Tech ,L 73 - 80 
03/14/2019, Baylor ,W 83 - 66 
03/15/2019, Kansas St. ,W 63 - 59 
03/16/2019, Kansas ,W 78 - 66 
