11/08/2018, UMKC ,W 77 - 63 
11/11/2018, Green Bay ,W 93 - 82 
11/15/2018, Oregon ,W 77 - 69 
11/16/2018, UConn ,W 91 - 72 
11/21/2018, Alabama St. ,W 105 - 78 
11/27/2018, Pittsburgh ,W 69 - 68 
11/30/2018, Wisconsin ,L 66 - 72 
12/03/2018,@ Michigan St. ,L 68 - 90 
12/06/2018, Iowa St. ,W 98 - 84 
12/15/2018, UNI ,W 77 - 54 
12/18/2018, Western Caro. ,W 78 - 60 
12/22/2018, Savannah St. ,W 110 - 64 
12/29/2018, Bryant ,W 72 - 67 
01/03/2019,@ Purdue ,L 70 - 86 
01/06/2019, Nebraska ,W 93 - 84 
01/09/2019,@ Northwestern ,W 73 - 63 
01/12/2019, Ohio St. ,W 72 - 62 
01/16/2019,@ Penn St. ,W 89 - 82 
01/20/2019, Illinois ,W 95 - 71 
01/24/2019, Michigan St. ,L 67 - 82 
01/27/2019,@ Minnesota ,L 87 - 92 
02/01/2019, Michigan ,W 74 - 59 
02/07/2019,@ Indiana ,W 77 - 72 
02/10/2019, Northwestern ,W 80 - 79 
02/16/2019,@ Rutgers ,W 71 - 69 
02/19/2019, Maryland ,L 65 - 66 
02/22/2019, Indiana ,W 76 - 70 (1OT)
02/26/2019,@ Ohio St. ,L 70 - 90 
03/02/2019, Rutgers ,L 72 - 86 
03/07/2019,@ Wisconsin ,L 45 - 65 
03/10/2019,@ Nebraska ,L 91 - 93 (1OT)
03/14/2019, Illinois ,W 83 - 62 
03/15/2019, Michigan ,L 53 - 74 
