11/09/2018, Kennesaw St. ,W 56 - 41 
11/12/2018, Denver ,W 64 - 56 
11/16/2018, Eastern Ky. ,W 95 - 68 
11/18/2018, Penn ,W 64 - 48 
11/19/2018, Missouri ,W 82 - 67 
11/24/2018, Lehigh ,W 77 - 58 
12/01/2018,@ Marquette ,L 71 - 83 
12/08/2018,@ Tulsa ,L 46 - 47 
12/15/2018, Georgia St. ,W 71 - 59 
12/19/2018, Southern Miss. ,W 55 - 51 
12/22/2018, Vanderbilt ,W 69 - 58 
12/29/2018, George Mason ,W 59 - 58 
01/02/2019, Texas ,L 47 - 67 
01/05/2019,@ Texas Tech ,L 57 - 63 
01/09/2019, West Virginia ,W 71 - 69 
01/12/2019,@ Iowa St. ,W 58 - 57 
01/16/2019,@ Oklahoma ,W 74 - 61 
01/19/2019, TCU ,W 65 - 55 
01/22/2019, Texas Tech ,W 58 - 45 
01/26/2019,@ Texas A&M ,L 53 - 65 
02/02/2019,@ Oklahoma St. ,W 75 - 57 
02/05/2019, Kansas ,W 74 - 67 
02/09/2019,@ Baylor ,W 70 - 63 
02/12/2019,@ Texas ,W 71 - 64 
02/16/2019, Iowa St. ,L 64 - 78 
02/18/2019,@ West Virginia ,W 65 - 51 
02/23/2019, Oklahoma St. ,W 85 - 46 
02/25/2019,@ Kansas ,L 49 - 64 
03/02/2019, Baylor ,W 66 - 60 
03/04/2019,@ TCU ,W 64 - 52 
03/09/2019, Oklahoma ,W 68 - 53 
03/14/2019, TCU ,W 70 - 61 
03/15/2019, Iowa St. ,L 59 - 63 
