11/06/2018, Michigan St. ,W 92 - 87 
11/12/2018, Vermont ,W 84 - 68 
11/16/2018, Louisiana ,W 89 - 76 
11/21/2018, Marquette ,W 77 - 68 
11/23/2018, Tennessee ,W 87 - 81 (1OT)
12/01/2018, Stanford ,W 90 - 84 (1OT)
12/04/2018, Wofford ,W 72 - 47 
12/08/2018, New Mexico St. ,W 63 - 60 
12/15/2018, Villanova ,W 74 - 71 
12/18/2018, South Dakota ,W 89 - 53 
12/22/2018,@ Arizona St. ,L 76 - 80 
12/29/2018, Eastern Mich. ,W 87 - 63 
01/02/2019, Oklahoma ,W 70 - 63 
01/05/2019,@ Iowa St. ,L 60 - 77 
01/09/2019, TCU ,W 77 - 68 
01/12/2019,@ Baylor ,W 73 - 68 
01/14/2019, Texas ,W 80 - 78 
01/19/2019,@ West Virginia ,L 64 - 65 
01/21/2019, Iowa St. ,W 80 - 76 
01/26/2019,@ Kentucky ,L 63 - 71 
01/29/2019,@ Texas ,L 63 - 73 
02/02/2019, Texas Tech ,W 79 - 63 
02/05/2019,@ Kansas St. ,L 67 - 74 
02/09/2019, Oklahoma St. ,W 84 - 72 
02/11/2019,@ TCU ,W 82 - 77 (1OT)
02/16/2019, West Virginia ,W 78 - 53 
02/23/2019,@ Texas Tech ,L 62 - 91 
02/25/2019, Kansas St. ,W 64 - 49 
03/02/2019,@ Oklahoma St. ,W 72 - 67 
03/05/2019,@ Oklahoma ,L 68 - 81 
03/09/2019, Baylor ,W 78 - 70 
03/14/2019, Texas ,W 65 - 57 
03/15/2019, West Virginia ,W 88 - 74 
03/16/2019, Iowa St. ,L 66 - 78 
