11/06/2018, Southeastern La. ,W 94 - 63
11/09/2018, UNC Greensboro ,W 97 - 91
11/13/2018, Memphis ,W 85 - 76
11/16/2018, Louisiana Tech ,W 74 - 67
11/22/2018, Col. of Charleston ,W 67 - 55
11/23/2018, Florida St. ,L 76 - 79 (1OT)
11/25/2018, Oklahoma St. ,L 77 - 90
12/01/2018, Grambling ,W 78 - 57
12/09/2018, Incarnate Word ,W 91 - 50
12/12/2018,@ Houston ,L 76 - 82
12/15/2018, Saint Mary's (CA) ,W 78 - 74
12/21/2018, Furman ,W 75 - 57
12/28/2018, La.-Monroe ,W 81 - 69
01/08/2019, Alabama ,W 88 - 79
01/12/2019,@ Arkansas ,W 94 - 88 (1OT)
01/15/2019,@ Ole Miss ,W 83 - 69
01/19/2019, South Carolina ,W 89 - 67
01/23/2019, Georgia ,W 92 - 82
01/26/2019,@ Missouri ,W 86 - 80 (1OT)
01/30/2019,@ Texas A&M ,W 72 - 57
02/02/2019, Arkansas ,L 89 - 90
02/06/2019,@ Mississippi St. ,W 92 - 88 (1OT)
02/09/2019, Auburn ,W 83 - 78
02/12/2019,@ Kentucky ,W 73 - 71
02/16/2019,@ Georgia ,W 83 - 79
02/20/2019, Florida ,L 77 - 82 (1OT)
02/23/2019, Tennessee ,W 82 - 80 (1OT)
02/26/2019, Texas A&M ,W 66 - 55
03/02/2019,@ Alabama ,W 74 - 69
03/06/2019,@ Florida ,W 79 - 78 (1OT)
03/09/2019, Vanderbilt ,W 80 - 59
03/15/2019, Florida ,L 73 - 76
