11/08/2018, Me.-Fort Kent ,W 89 - 40 
11/13/2018, Trevecca Nazarene ,W 93 - 40 
11/16/2018,@ Kent St. ,W 77 - 70 
11/19/2018,@ Vanderbilt ,L 70 - 79 
11/23/2018, Alcorn ,W 76 - 54 
11/25/2018, Savannah St. ,W 82 - 56 
11/28/2018,@ Navy ,W 76 - 58 
12/01/2018, Georgia St. ,W 78 - 52 
12/03/2018,@ Georgetown ,L 78 - 88 
12/11/2018, South Carolina St. ,W 79 - 55 
12/15/2018, Ky. Christian ,W 96 - 55 
12/18/2018, Alabama ,L 75 - 84 
12/21/2018, Alabama St. ,W 73 - 55 
12/22/2018, Austin Peay ,L 66 - 75 
12/29/2018,@ UCLA ,W 73 - 58 
01/05/2019,@ FGCU ,W 81 - 63 
01/09/2019,@ Stetson ,W 71 - 53 
01/12/2019, Jacksonville ,W 69 - 53 
01/16/2019,@ Kennesaw St. ,W 62 - 41 
01/19/2019, North Florida ,W 70 - 64 
01/21/2019, North Ala. ,W 72 - 47 
01/27/2019,@ Jacksonville ,W 69 - 59 
01/29/2019, Lipscomb ,L 59 - 79 
02/02/2019, NJIT ,W 77 - 57 
02/05/2019, Stetson ,W 57 - 54 
02/09/2019, FGCU ,W 74 - 67 
02/13/2019,@ Lipscomb ,W 74 - 66 
02/16/2019,@ North Ala. ,W 80 - 70 
02/23/2019,@ North Florida ,L 70 - 75 
02/26/2019, Kennesaw St. ,W 76 - 59 
03/01/2019,@ NJIT ,W 57 - 51 
03/04/2019, Jacksonville ,W 72 - 58 
03/07/2019, North Florida ,W 71 - 63 
03/10/2019,@ Lipscomb ,W 74 - 68 
