11/08/2018, Nicholls St. ,W 85 - 72 
11/13/2018, Southern U. ,W 104 - 54 
11/16/2018, Vermont ,W 86 - 78 
11/21/2018, Tennessee ,L 81 - 92 
11/23/2018, Marquette ,L 74 - 77 (1OT)
11/27/2018, Michigan St. ,W 82 - 78 (1OT)
12/01/2018,@ Seton Hall ,W 70 - 65 
12/05/2018, Central Ark. ,W 86 - 41 
12/08/2018,@ Indiana ,L 67 - 68 
12/12/2018, Lipscomb ,W 72 - 68 
12/15/2018, Kent St. ,W 83 - 70 
12/21/2018, Robert Morris ,W 73 - 59 
12/29/2018, Kentucky ,L 58 - 71 
01/06/2019, Miami (FL) ,W 90 - 73 
01/09/2019,@ Pittsburgh ,L 86 - 89 (1OT)
01/12/2019,@ North Carolina ,W 83 - 62 
01/16/2019, Boston College ,W 80 - 70 
01/19/2019,@ Georgia Tech ,W 79 - 51 
01/24/2019, NC State ,W 84 - 77 
01/26/2019, Pittsburgh ,W 66 - 51 
01/30/2019,@ Wake Forest ,W 82 - 54 
02/02/2019, North Carolina ,L 69 - 79 
02/04/2019,@ Virginia Tech ,W 72 - 64 
02/09/2019,@ Florida St. ,L 75 - 80 (1OT)
02/12/2019, Duke ,L 69 - 71 
02/16/2019, Clemson ,W 56 - 55 
02/20/2019,@ Syracuse ,L 49 - 69 
02/23/2019, Virginia ,L 52 - 64 
02/27/2019,@ Boston College ,L 59 - 66 
03/03/2019, Notre Dame ,W 75 - 61 
03/09/2019,@ Virginia ,L 68 - 73 
03/13/2019, Notre Dame ,W 75 - 53 
03/14/2019, North Carolina ,L 70 - 83 
