11/06/2018, UMBC ,W 67 - 42 
11/10/2018, Bethune-Cookman ,W 92 - 59 
11/14/2018,@ Indiana ,L 73 - 96 
11/17/2018, Presbyterian ,W 74 - 55 
11/21/2018, Kansas ,L 68 - 77 
11/23/2018, Louisville ,W 77 - 74 (1OT)
11/27/2018, Charleston So. ,W 76 - 55 
12/01/2018, Kansas St. ,W 83 - 71 
12/04/2018, UTEP ,W 76 - 69 
12/08/2018, Wisconsin ,W 74 - 69 (1OT)
12/18/2018, North Dakota ,W 92 - 66 
12/21/2018, Buffalo ,W 103 - 85 
12/28/2018, Southern U. ,W 84 - 41 
01/01/2019,@ St. John's (NY) ,L 69 - 89 
01/06/2019, Xavier ,W 70 - 52 
01/09/2019,@ Creighton ,W 106 - 104 (1OT)
01/12/2019, Seton Hall ,W 70 - 66 
01/15/2019,@ Georgetown ,W 74 - 71 
01/20/2019, Providence ,W 79 - 68 
01/23/2019, DePaul ,W 79 - 69 
01/26/2019,@ Xavier ,W 87 - 82 
01/30/2019,@ Butler ,W 76 - 58 
02/05/2019, St. John's (NY) ,L 69 - 70 
02/09/2019, Villanova ,W 66 - 65 
02/12/2019,@ DePaul ,W 92 - 73 
02/20/2019, Butler ,W 79 - 69 
02/23/2019,@ Providence ,W 76 - 58 
02/27/2019,@ Villanova ,L 61 - 67 
03/03/2019, Creighton ,L 60 - 66 
03/06/2019,@ Seton Hall ,L 64 - 73 
03/09/2019, Georgetown ,L 84 - 86 
03/14/2019, St. John's (NY) ,W 86 - 54 
03/15/2019, Seton Hall ,L 79 - 81 
