11/06/2018, Delaware ,W 73 - 67 
11/09/2018,@ Navy ,W 78 - 57 
11/12/2018, N.C. A&T ,W 82 - 59 
11/16/2018, Hofstra ,W 80 - 69 
11/18/2018, Mount St. Mary's ,W 92 - 77 
11/23/2018, Marshall ,W 104 - 67 
11/28/2018, Virginia ,L 71 - 76 
12/01/2018, Penn St. ,W 66 - 59 
12/06/2018,@ Purdue ,L 60 - 62 
12/08/2018, Loyola Chicago ,W 55 - 41 
12/11/2018, Loyola Maryland ,W 94 - 71 
12/22/2018, Seton Hall ,L 74 - 78 
12/29/2018, Radford ,W 78 - 64 
01/02/2019, Nebraska ,W 74 - 72 
01/05/2019,@ Rutgers ,W 77 - 63 
01/08/2019,@ Minnesota ,W 82 - 67 
01/11/2019, Indiana ,W 78 - 75 
01/14/2019, Wisconsin ,W 64 - 60 
01/18/2019,@ Ohio St. ,W 75 - 61 
01/21/2019,@ Michigan St. ,L 55 - 69 
01/26/2019, Illinois ,L 67 - 78 
01/29/2019, Northwestern ,W 70 - 52 
02/01/2019,@ Wisconsin ,L 61 - 69 
02/06/2019,@ Nebraska ,W 60 - 45 
02/12/2019, Purdue ,W 70 - 56 
02/16/2019,@ Michigan ,L 52 - 65 
02/19/2019,@ Iowa ,W 66 - 65 
02/23/2019, Ohio St. ,W 72 - 62 
02/27/2019,@ Penn St. ,L 61 - 78 
03/03/2019, Michigan ,L 62 - 69 
03/08/2019, Minnesota ,W 69 - 60 
03/14/2019, Nebraska ,L 61 - 69 
