11/06/2018, Kansas ,L 87 - 92 
11/11/2018, FGCU ,W 106 - 82 
11/14/2018, La.-Monroe ,W 80 - 59 
11/18/2018, Tennessee Tech ,W 101 - 33 
11/22/2018, UCLA ,W 87 - 67 
11/23/2018, Texas ,W 78 - 68 
11/27/2018,@ Louisville ,L 78 - 82 (1OT)
11/30/2018,@ Rutgers ,W 78 - 67 
12/03/2018, Iowa ,W 90 - 68 
12/08/2018,@ Florida ,W 63 - 59 
12/16/2018, Green Bay ,W 104 - 83 
12/21/2018, Oakland ,W 99 - 69 
12/29/2018, Northern Ill. ,W 88 - 60 
01/02/2019, Northwestern ,W 81 - 55 
01/05/2019,@ Ohio St. ,W 86 - 77 
01/08/2019, Purdue ,W 77 - 59 
01/13/2019,@ Penn St. ,W 71 - 56 
01/17/2019,@ Nebraska ,W 70 - 64 
01/21/2019, Maryland ,W 69 - 55 
01/24/2019,@ Iowa ,W 82 - 67 
01/27/2019,@ Purdue ,L 63 - 73 
02/02/2019, Indiana ,L 75 - 79 (1OT)
02/05/2019,@ Illinois ,L 74 - 79 
02/09/2019, Minnesota ,W 79 - 55 
02/12/2019,@ Wisconsin ,W 67 - 59 
02/17/2019, Ohio St. ,W 62 - 44 
02/20/2019, Rutgers ,W 71 - 60 
02/24/2019,@ Michigan ,W 77 - 70 
03/02/2019,@ Indiana ,L 62 - 63 
03/05/2019, Nebraska ,W 91 - 76 
03/09/2019, Michigan ,W 75 - 63 
03/15/2019, Ohio St. ,W 77 - 70 
03/16/2019, Wisconsin ,W 67 - 55 
03/17/2019, Michigan ,W 65 - 60 
