11/06/2018, Norfolk St. ,W 63 - 44 
11/10/2018, Holy Cross ,W 56 - 37 
11/14/2018,@ Villanova ,W 73 - 46 
11/17/2018, George Washington ,W 84 - 61 
11/18/2018, Providence ,W 66 - 47 
11/23/2018, Chattanooga ,W 83 - 55 
11/28/2018, North Carolina ,W 84 - 67 
12/01/2018, Purdue ,W 76 - 57 
12/04/2018,@ Northwestern ,W 62 - 60 
12/08/2018, South Carolina ,W 89 - 78 
12/15/2018, Western Mich. ,W 70 - 62 
12/22/2018, Air Force ,W 71 - 50 
12/30/2018, Binghamton ,W 74 - 52 
01/03/2019, Penn St. ,W 68 - 55 
01/06/2019, Indiana ,W 74 - 63 
01/10/2019,@ Illinois ,W 79 - 69 
01/13/2019, Northwestern ,W 80 - 60 
01/19/2019,@ Wisconsin ,L 54 - 64 
01/22/2019, Minnesota ,W 59 - 57 
01/25/2019,@ Indiana ,W 69 - 46 
01/29/2019, Ohio St. ,W 65 - 49 
02/01/2019,@ Iowa ,L 59 - 74 
02/05/2019,@ Rutgers ,W 77 - 65 
02/09/2019, Wisconsin ,W 61 - 52 
02/12/2019,@ Penn St. ,L 69 - 75 
02/16/2019, Maryland ,W 65 - 52 
02/21/2019,@ Minnesota ,W 69 - 60 
02/24/2019, Michigan St. ,L 70 - 77 
02/28/2019, Nebraska ,W 82 - 53 
03/03/2019,@ Maryland ,W 69 - 62 
03/09/2019,@ Michigan St. ,L 63 - 75 
03/15/2019, Iowa ,W 74 - 53 
03/16/2019, Minnesota ,W 76 - 49 
03/17/2019, Michigan St. ,L 60 - 65 
