11/06/2018, Omaha ,W 104 - 76 
11/12/2018, Utah ,W 78 - 69 
11/18/2018, Texas A&M ,W 69 - 64 
11/20/2018, Santa Clara ,W 80 - 66 
11/21/2018, Washington ,W 68 - 66 
11/26/2018,@ Boston College ,L 56 - 68 
11/30/2018, Oklahoma St. ,W 83 - 76 
12/02/2018,@ Ohio St. ,L 59 - 79 
12/05/2018, Nebraska ,W 85 - 78 
12/08/2018, Arkansas St. ,W 72 - 56 
12/11/2018, North Florida ,W 80 - 71 
12/21/2018, N.C. A&T ,W 86 - 67 
12/30/2018, Mount St. Mary's ,W 71 - 53 
01/03/2019,@ Wisconsin ,W 59 - 52 
01/08/2019, Maryland ,L 67 - 82 
01/12/2019, Rutgers ,W 88 - 70 
01/16/2019,@ Illinois ,L 68 - 95 
01/19/2019, Penn St. ,W 65 - 64 
01/22/2019,@ Michigan ,L 57 - 59 
01/27/2019, Iowa ,W 92 - 87 
01/30/2019, Illinois ,W 86 - 75 
02/03/2019,@ Purdue ,L 63 - 73 
02/06/2019, Wisconsin ,L 51 - 56 
02/09/2019,@ Michigan St. ,L 55 - 79 
02/13/2019,@ Nebraska ,L 61 - 62 
02/16/2019, Indiana ,W 84 - 63 
02/21/2019, Michigan ,L 60 - 69 
02/24/2019,@ Rutgers ,L 64 - 68 
02/28/2019,@ Northwestern ,W 62 - 50 
03/05/2019, Purdue ,W 73 - 69 
03/08/2019,@ Maryland ,L 60 - 69 
03/14/2019, Penn St. ,W 77 - 72 (1OT)
03/15/2019, Purdue ,W 75 - 73 
03/16/2019, Michigan ,L 49 - 76 
