11/09/2018, Austin Peay ,W 95 - 67 
11/11/2018, Hartford ,W 77 - 59 
11/16/2018, Long Beach St. ,W 79 - 51 
11/19/2018, Arizona St. ,L 67 - 72 
11/21/2018, Saint Mary's (CA) ,W 61 - 57 
11/26/2018, Alcorn ,W 88 - 65 
11/30/2018,@ Dayton ,W 65 - 58 
12/04/2018, McNeese ,W 90 - 77 
12/08/2018, Clemson ,W 82 - 71 
12/15/2018, Cincinnati ,W 70 - 59 
12/19/2018, Wofford ,W 98 - 87 
12/22/2018, Wright St. ,W 67 - 63 
12/29/2018, BYU ,W 103 - 81 
01/08/2019,@ South Carolina ,L 82 - 87 (1OT)
01/12/2019, Ole Miss ,L 77 - 81 
01/15/2019, Florida ,W 71 - 68 
01/19/2019,@ Vanderbilt ,W 71 - 55 
01/22/2019,@ Kentucky ,L 55 - 76 
01/26/2019, Auburn ,W 92 - 84 
01/29/2019,@ Alabama ,L 79 - 83 
02/02/2019,@ Ole Miss ,W 81 - 75 
02/06/2019, LSU ,L 88 - 92 (1OT)
02/09/2019, Kentucky ,L 67 - 71 
02/12/2019, Alabama ,W 81 - 62 
02/16/2019,@ Arkansas ,W 77 - 67 
02/20/2019,@ Georgia ,W 68 - 67 
02/23/2019, South Carolina ,W 76 - 61 
02/26/2019, Missouri ,W 68 - 49 
03/02/2019,@ Auburn ,L 75 - 80 
03/05/2019,@ Tennessee ,L 54 - 71 
03/09/2019, Texas A&M ,W 92 - 81 
03/14/2019, Texas A&M ,W 80 - 54 
03/15/2019, Tennessee ,L 76 - 83 
