11/09/2018, Georgia St. ,W 81 - 74 
11/12/2018, Montana Tech ,W 79 - 55 
11/16/2018, Incarnate Word ,W 93 - 66 
11/17/2018, Miami (OH) ,W 73 - 71 
11/18/2018, Ga. Southern ,L 77 - 80 
11/28/2018,@ Creighton ,L 72 - 98 
12/03/2018, Col. of Idaho ,W 80 - 52 
12/08/2018,@ UC Irvine ,L 51 - 60 
12/17/2018, North Dakota St. ,W 60 - 53 
12/19/2018,@ Arizona ,L 42 - 61 
12/22/2018,@ South Dakota St. ,W 85 - 74 
12/29/2018,@ Northern Ariz. ,W 86 - 73 
12/31/2018,@ Southern Utah ,W 89 - 76 
01/03/2019, Sacramento St. ,W 87 - 56 
01/05/2019, Portland St. ,L 74 - 77 (1OT)
01/10/2019,@ Eastern Wash. ,L 71 - 78 
01/12/2019,@ Northern Colo. ,W 88 - 64 
01/19/2019,@ Idaho ,W 69 - 51 
01/24/2019, Idaho St. ,W 80 - 69 
01/26/2019, Weber St. ,W 75 - 68 
02/02/2019,@ Montana St. ,W 83 - 78 
02/07/2019, Idaho ,W 100 - 59 
02/09/2019, Eastern Wash. ,W 75 - 74 
02/14/2019,@ Weber St. ,W 83 - 80 
02/16/2019,@ Idaho St. ,W 80 - 68 
02/23/2019, Montana St. ,W 89 - 83 
02/25/2019, Northern Colo. ,L 72 - 74 
03/02/2019, Southern Utah ,W 70 - 54 
03/04/2019, Northern Ariz. ,W 66 - 64 
03/07/2019,@ Portland St. ,L 69 - 81 
03/09/2019,@ Sacramento St. ,W 86 - 68 
03/14/2019, Sacramento St. ,W 79 - 73 
03/15/2019, Weber St. ,W 78 - 49 
03/16/2019, Eastern Wash. ,W 68 - 62 
