11/10/2018, Wright St. ,W 73 - 54 
11/16/2018, Spalding ,W 106 - 36 
11/24/2018, Missouri St. ,W 77 - 66 
11/26/2018,@ Alabama ,L 72 - 78 
12/01/2018, Prairie View ,W 83 - 67 
12/08/2018,@ Middle Tenn. ,W 64 - 42 
12/12/2018,@ Southern Ill. ,W 80 - 52 
12/15/2018, Jackson St. ,W 74 - 57 
12/18/2018, Evansville ,W 66 - 64 
12/22/2018,@ Auburn ,L 88 - 93 
12/29/2018, Bethel (TN) ,W 110 - 82 
01/03/2019, Morehead St. ,W 90 - 69 
01/05/2019, Eastern Ky. ,W 97 - 85 
01/10/2019,@ UT Martin ,W 98 - 77 
01/12/2019,@ Southeast Mo. St. ,W 85 - 67 
01/17/2019,@ Eastern Ill. ,W 83 - 61 
01/19/2019,@ SIUE ,W 82 - 72 
01/24/2019, Belmont ,L 66 - 79 
01/26/2019, Tennessee St. ,W 100 - 62 
01/31/2019,@ Jacksonville St. ,L 68 - 88 
02/02/2019,@ Tennessee Tech ,W 67 - 63 
02/07/2019, Eastern Ill. ,W 86 - 75 
02/09/2019, SIUE ,W 86 - 55 
02/14/2019,@ Austin Peay ,W 73 - 71 
02/16/2019,@ Eastern Ky. ,W 102 - 70 
02/21/2019, UT Martin ,W 85 - 75 
02/23/2019, Southeast Mo. St. ,W 103 - 67 
02/28/2019,@ Morehead St. ,W 71 - 52 
03/02/2019, Austin Peay ,W 94 - 83 
03/08/2019, Jacksonville St. ,W 76 - 74 
03/09/2019, Belmont ,W 77 - 65 
