11/09/2018,@ Clemson ,L 51 - 71 
11/13/2018,@ Cincinnati ,L 51 - 73 
11/15/2018,@ Bowling Green ,L 60 - 75 
11/18/2018, Warren Wilson ,W 123 - 57 
11/20/2018,@ George Mason ,L 63 - 78 
11/23/2018, Nicholls St. ,L 63 - 77 
11/24/2018, Southern U. ,W 83 - 71 
11/28/2018, Christendom ,W 110 - 51 
12/01/2018, McNeese ,W 67 - 66 
12/08/2018,@ Appalachian St. ,L 73 - 82 
12/13/2018,@ McNeese ,L 61 - 77 
12/16/2018,@ Coastal Caro. ,L 65 - 69 
12/19/2018,@ Saint Louis ,L 65 - 74 
12/30/2018, Wilberforce ,W 91 - 44 
01/05/2019, Bethune-Cookman ,W 68 - 59 
01/12/2019,@ UMES ,W 61 - 48 
01/14/2019,@ Delaware St. ,W 71 - 70 
01/19/2019, Coppin St. ,L 60 - 64 
01/21/2019, Morgan St. ,W 92 - 64 
01/26/2019, N.C. A&T ,L 48 - 51 
01/28/2019,@ Savannah St. ,W 82 - 78 
02/02/2019,@ Bethune-Cookman ,L 64 - 74 
02/04/2019,@ Florida A&M ,L 57 - 73 
02/09/2019, UMES ,W 78 - 53 
02/11/2019, Delaware St. ,W 87 - 52 
02/16/2019,@ Norfolk St. ,L 71 - 75 (1OT)
02/18/2019,@ Howard ,W 98 - 90 
02/23/2019, Savannah St. ,W 78 - 69 
02/25/2019, South Carolina St. ,W 72 - 62 
03/07/2019,@ N.C. A&T ,L 52 - 74 
03/14/2019, Delaware St. ,W 75 - 57 
03/15/2019, N.C. A&T ,W 65 - 63 
03/16/2019, Norfolk St. ,W 50 - 47 
