11/06/2018, BYU ,W 86 - 70 
11/09/2018, Pacific ,W 83 - 61 
11/16/2018, Little Rock ,W 87 - 59 
11/19/2018, California Baptist ,W 90 - 55 
11/22/2018, Tulsa ,W 96 - 86 
11/23/2018, Massachusetts ,W 110 - 87 
11/27/2018,@ Loyola Chicago ,W 79 - 65 
12/01/2018,@ Southern California ,W 73 - 61 
12/07/2018, Arizona St. ,W 72 - 66 
12/09/2018, Grand Canyon ,W 74 - 66 
12/15/2018, South Dakota St. ,W 72 - 68 
12/22/2018, Akron ,W 68 - 62 
12/29/2018,@ Utah ,W 86 - 71 
01/02/2019, Utah St. ,W 72 - 49 
01/05/2019,@ New Mexico ,L 58 - 85 
01/09/2019, San Jose St. ,W 92 - 53 
01/12/2019,@ Fresno St. ,W 74 - 64 
01/15/2019,@ Boise St. ,W 72 - 71 
01/19/2019, Air Force ,W 67 - 52 
01/23/2019, Colorado St. ,W 100 - 60 
01/29/2019,@ UNLV ,W 87 - 70 
02/02/2019, Boise St. ,W 93 - 73 
02/06/2019,@ Colorado St. ,W 98 - 82 
02/09/2019, New Mexico ,W 91 - 62 
02/16/2019,@ Wyoming ,W 82 - 49 
02/20/2019,@ San Diego St. ,L 57 - 65 
02/23/2019, Fresno St. ,W 74 - 68 
02/27/2019, UNLV ,W 89 - 73 
03/02/2019,@ Utah St. ,L 76 - 81 
03/05/2019,@ Air Force ,W 90 - 79 
03/09/2019, San Diego St. ,W 81 - 53 
03/14/2019, Boise St. ,W 77 - 69 
03/15/2019, San Diego St. ,L 56 - 65 
