11/06/2018, North Dakota St. ,W 73 - 56 
11/09/2018, UTEP ,W 96 - 69 
11/14/2018, Saint Mary's (CA) ,L 58 - 73 
11/17/2018,@ New Mexico ,W 98 - 94 
11/21/2018, Eastern N.M. ,W 92 - 65 
11/28/2018,@ UTEP ,W 62 - 58 
12/01/2018, Washington St. ,W 69 - 63 
12/04/2018, New Mexico ,W 100 - 65 
12/08/2018,@ Kansas ,L 60 - 63 
12/17/2018, Northern Colo. ,W 74 - 62 
12/19/2018, CSUN ,W 92 - 57 
12/22/2018, Drake ,L 63 - 66 
12/23/2018, Washington St. ,W 75 - 72 
12/30/2018,@ Colorado St. ,W 88 - 68 
01/03/2019,@ California Baptist ,L 76 - 82 
01/10/2019, Grand Canyon ,W 77 - 75 
01/12/2019, CSU Bakersfield ,W 73 - 62 
01/17/2019,@ Seattle U ,W 87 - 60 
01/19/2019,@ Utah Valley ,W 83 - 78 
01/26/2019,@ UTRGV ,W 63 - 61 
01/31/2019, UMKC ,W 70 - 54 
02/02/2019, Chicago St. ,W 83 - 39 
02/07/2019,@ CSU Bakersfield ,W 71 - 70 (1OT)
02/09/2019,@ Grand Canyon ,W 67 - 64 
02/14/2019, Utah Valley ,W 84 - 77 
02/16/2019, Seattle U ,W 59 - 53 
02/19/2019, Tex. A&M Int'l ,W 80 - 42 
02/23/2019, UTRGV ,W 88 - 79 
02/28/2019,@ UMKC ,W 75 - 55 
03/02/2019,@ Chicago St. ,W 92 - 58 
03/09/2019, California Baptist ,W 75 - 63 
03/14/2019, Chicago St. ,W 86 - 49 
03/15/2019, UTRGV ,W 79 - 72 
03/16/2019, Grand Canyon ,W 89 - 57 
