11/06/2018,@ Wofford ,W 78 - 67
11/09/2018,@ Elon ,W 116 - 67
11/12/2018, Stanford ,W 90 - 72
11/16/2018, Tennessee Tech ,W 108 - 58
11/19/2018, Saint Francis (PA) ,W 101 - 76
11/22/2018, Texas ,L 89 - 92
11/23/2018, UCLA ,W 94 - 78
11/28/2018,@ Michigan ,L 67 - 84
12/05/2018, UNCW ,W 97 - 69
12/15/2018, Gonzaga ,W 103 - 90
12/22/2018, Kentucky ,L 72 - 80
12/29/2018, Davidson ,W 82 - 60
01/02/2019, Harvard ,W 77 - 57
01/05/2019,@ Pittsburgh ,W 85 - 60
01/08/2019,@ NC State ,W 90 - 82
01/12/2019, Louisville ,L 62 - 83
01/15/2019, Notre Dame ,W 75 - 69
01/19/2019,@ Miami (FL) ,W 85 - 76
01/21/2019, Virginia Tech ,W 103 - 82
01/29/2019,@ Georgia Tech ,W 77 - 54
02/02/2019,@ Louisville ,W 79 - 69
02/05/2019, NC State ,W 113 - 96
02/09/2019, Miami (FL) ,W 88 - 85 (1OT)
02/11/2019, Virginia ,L 61 - 69
02/16/2019,@ Wake Forest ,W 95 - 57
02/20/2019,@ Duke ,W 88 - 72
02/23/2019, Florida St. ,W 77 - 59
02/26/2019, Syracuse ,W 93 - 85
03/02/2019,@ Clemson ,W 81 - 79
03/05/2019,@ Boston College ,W 79 - 66
03/09/2019, Duke ,W 79 - 70
03/14/2019, Louisville ,W 83 - 70
03/15/2019, Duke ,L 73 - 74
