11/06/2018,@ New Mexico St. ,L 56 - 73 
11/11/2018, UC Santa Barbara ,W 82 - 63 
11/16/2018, Miami (OH) ,L 78 - 89 
11/17/2018, Incarnate Word ,L 78 - 80 (1OT)
11/18/2018, Towson ,W 76 - 51 
11/24/2018,@ ETSU ,L 61 - 79 
11/26/2018,@ Gonzaga ,L 60 - 102 
12/01/2018, Drake ,L 88 - 95 
12/03/2018,@ Iowa St. ,L 59 - 81 
12/08/2018, Eastern Wash. ,W 74 - 67 
12/15/2018, Missouri St. ,W 74 - 67 
12/17/2018,@ Montana ,L 53 - 60 
12/19/2018, Northland ,W 90 - 43 
12/29/2018, South Dakota ,W 71 - 65 
12/30/2018, Purdue Fort Wayne ,L 87 - 90 (1OT)
01/02/2019,@ Omaha ,L 77 - 90 
01/06/2019, Dickinson St. ,W 85 - 53 
01/10/2019, Western Ill. ,W 85 - 69 
01/16/2019,@ Denver ,L 65 - 80 
01/19/2019, North Dakota ,W 67 - 65 
01/24/2019,@ South Dakota St. ,L 69 - 87 
01/26/2019,@ Oral Roberts ,W 67 - 57 
02/02/2019,@ Western Ill. ,W 78 - 76 
02/06/2019,@ North Dakota ,W 74 - 70 
02/09/2019, Denver ,W 81 - 71 
02/14/2019, Oral Roberts ,W 85 - 73 
02/16/2019, South Dakota St. ,L 77 - 78
02/23/2019, Omaha ,L 50 - 58 
02/28/2019,@ South Dakota ,L 65 - 75 
03/02/2019,@ Purdue Fort Wayne ,W 69 - 66 
03/10/2019, Oral Roberts ,W 86 - 73 
03/11/2019, Western Ill. ,W 76 - 73 
03/12/2019, Omaha ,W 73 - 63 
