11/06/2018, Boston U. ,L 74 - 77 
11/09/2018,@ Harvard ,W 81 - 71 
11/15/2018, Alabama ,W 68 - 52 
11/16/2018, Virginia Tech ,L 60 - 88 
11/18/2018, Davidson ,L 59 - 71 
11/24/2018,@ Davidson ,L 69 - 78 
11/28/2018,@ Bucknell ,W 96 - 78 
12/01/2018, Eastern Mich. ,W 81 - 67 
12/04/2018,@ Syracuse ,L 49 - 72 
12/08/2018, Oakland ,W 92 - 83 
12/16/2018,@ Vermont ,L 70 - 75 
12/21/2018, St. Bonaventure ,W 64 - 59 
12/28/2018, Drexel ,W 93 - 83 
12/30/2018, Delaware ,L 80 - 82 (2OT)
01/05/2019,@ Hofstra ,L 72 - 75 
01/10/2019,@ Elon ,W 81 - 70 (1OT)
01/12/2019,@ William & Mary ,W 90 - 70 
01/17/2019, Col. of Charleston ,W 69 - 60 
01/19/2019, UNCW ,W 88 - 71 
01/24/2019,@ Towson ,L 72 - 75 
01/26/2019,@ James Madison ,W 78 - 68 
02/02/2019, Hofstra ,W 75 - 61 
02/07/2019, William & Mary ,W 72 - 60 
02/09/2019, Elon ,W 72 - 60 (1OT)
02/14/2019,@ UNCW ,W 81 - 77 
02/16/2019,@ Col. of Charleston ,L 79 - 88 (1OT)
02/21/2019, James Madison ,W 76 - 60 
02/23/2019, Towson ,W 73 - 58 
02/28/2019,@ Delaware ,W 75 - 64 
03/02/2019,@ Drexel ,W 90 - 66 
03/10/2019, UNCW ,W 80 - 59 
03/11/2019, Col. of Charleston ,W 70 - 67 
03/12/2019, Hofstra ,W 82 - 74 
