11/07/2018,@ Cincinnati ,W 64 - 56 
11/11/2018, Purdue Fort Wayne ,W 107 - 61 
11/15/2018,@ Creighton ,W 69 - 60 
11/18/2018, South Carolina St. ,W 89 - 61 
11/20/2018, Samford ,W 68 - 50 
11/23/2018, Cleveland St. ,W 89 - 62 
11/28/2018, Syracuse ,L 62 - 72 
12/02/2018, Minnesota ,W 79 - 59 
12/05/2018,@ Illinois ,W 77 - 67 
12/15/2018, Bucknell ,W 73 - 71 
12/18/2018, Youngstown St. ,W 75 - 56 
12/22/2018, UCLA ,W 80 - 66 
12/29/2018, High Point ,W 82 - 64 
01/05/2019, Michigan St. ,L 77 - 86 
01/09/2019,@ Rutgers ,L 61 - 64 
01/12/2019,@ Iowa ,L 62 - 72 
01/18/2019, Maryland ,L 61 - 75 
01/23/2019, Purdue ,L 67 - 79 
01/26/2019,@ Nebraska ,W 70 - 60 
01/29/2019,@ Michigan ,L 49 - 65 
02/02/2019, Rutgers ,W 76 - 62 
02/07/2019, Penn St. ,W 74 - 70 
02/10/2019,@ Indiana ,W 55 - 52 
02/14/2019, Illinois ,L 56 - 63 
02/17/2019,@ Michigan St. ,L 44 - 62 
02/20/2019, Northwestern ,W 63 - 49 
02/23/2019,@ Maryland ,L 62 - 72 
02/26/2019, Iowa ,W 90 - 70 
03/02/2019,@ Purdue ,L 51 - 86 
03/06/2019,@ Northwestern ,L 50 - 68 
03/10/2019, Wisconsin ,L 67 - 73 (1OT)
03/14/2019, Indiana ,W 79 - 75 
03/15/2019, Michigan St. ,L 70 - 77 
