11/09/2018,@ UTRGV ,W 91 - 76 
11/12/2018,@ UTSA ,W 87 - 67 
11/18/2018, Wofford ,W 75 - 64 
11/21/2018, Florida ,W 65 - 60 
11/22/2018, Wisconsin ,L 58 - 78 
11/23/2018, Dayton ,W 65 - 54 
11/27/2018, North Texas ,W 73 - 57 
12/04/2018, Notre Dame ,W 85 - 80 
12/08/2018, Wichita St. ,W 80 - 48 
12/15/2018, Southern California ,W 81 - 70 
12/18/2018, Creighton ,W 83 - 70 
12/21/2018,@ Northwestern ,W 76 - 69 (1OT)
01/02/2019,@ Kansas ,L 63 - 70 
01/05/2019, Oklahoma St. ,W 74 - 64 
01/08/2019,@ Texas Tech ,L 59 - 66 
01/12/2019, TCU ,W 76 - 74 
01/16/2019, Kansas St. ,L 61 - 74 
01/19/2019,@ Texas ,L 72 - 75 
01/23/2019,@ Oklahoma St. ,W 70 - 61 
01/26/2019, Vanderbilt ,W 86 - 55 
01/28/2019, Baylor ,L 47 - 77 
02/02/2019,@ West Virginia ,L 71 - 79 
02/04/2019, Iowa St. ,L 74 - 75 
02/09/2019, Texas Tech ,L 54 - 66 
02/11/2019,@ Baylor ,L 53 - 59 
02/16/2019,@ TCU ,W 71 - 62 
02/23/2019, Texas ,W 69 - 67 
02/25/2019,@ Iowa St. ,L 61 - 78 
03/02/2019, West Virginia ,W 92 - 80 
03/05/2019, Kansas ,W 81 - 68 
03/09/2019,@ Kansas St. ,L 53 - 68 
03/13/2019, West Virginia ,L 71 - 72 
