11/06/2018, Navy ,W 67 - 44 
11/09/2018,@ Saint Joseph's ,L 64 - 79 
11/16/2018, Oregon St. ,L 56 - 61 
11/17/2018, Kennesaw St. ,W 65 - 47 
11/19/2018, UNI ,L 53 - 54 
11/23/2018, UNI ,W 72 - 65 
11/28/2018, VCU ,W 62 - 52 
12/01/2018, James Madison ,W 67 - 42 
12/05/2018, William & Mary ,W 71 - 53 
12/09/2018, Fairfield ,W 79 - 69 
12/15/2018,@ Syracuse ,W 68 - 62 
12/19/2018,@ Richmond ,W 63 - 54 
12/22/2018, Morgan St. ,W 76 - 53 
01/03/2019, Marshall ,L 67 - 70 
01/05/2019, Western Ky. ,W 69 - 66 
01/10/2019,@ Fla. Atlantic ,L 73 - 80 
01/12/2019,@ FIU ,W 75 - 74 
01/17/2019, Louisiana Tech ,W 64 - 63 
01/19/2019, Southern Miss. ,W 76 - 62 
01/21/2019,@ Charlotte ,W 76 - 70 
01/24/2019,@ UTEP ,W 50 - 48 
01/26/2019,@ UTSA ,L 73 - 74 
01/31/2019, North Texas ,W 72 - 61 
02/02/2019, Rice ,W 80 - 76 
02/07/2019,@ UAB ,W 70 - 59 
02/09/2019,@ Middle Tenn. ,W 55 - 50 
02/16/2019, Charlotte ,W 73 - 60 
02/23/2019, Western Ky. ,W 67 - 63 
02/28/2019,@ UTSA ,W 65 - 64 
03/06/2019, Southern Miss. ,L 52 - 59 
03/09/2019,@ UAB ,L 50 - 64 
03/14/2019, Louisiana Tech ,W 57 - 56 
03/15/2019, UAB ,W 61 - 59 
03/16/2019, Western Ky. ,W 62 - 56 
