11/10/2018, Western Mich. ,W 90 - 64 
11/16/2018,@ Butler ,L 76 - 83 
11/20/2018, Nicholls St. ,W 75 - 55 
11/23/2018, Baylor ,W 78 - 70 
11/24/2018, Cincinnati ,L 57 - 71 
11/28/2018, San Diego ,W 93 - 86 
12/01/2018, La.-Monroe ,W 83 - 60 
12/08/2018,@ Illinois St. ,W 81 - 74 
12/12/2018, Southeastern La. ,W 69 - 47 
12/16/2018, Chattanooga ,W 90 - 70 
12/21/2018, Middle Tenn. ,W 74 - 56 
12/29/2018, FGCU ,W 87 - 57 
01/05/2019,@ Vanderbilt ,W 81 - 71 
01/09/2019, Auburn ,W 82 - 67 
01/12/2019,@ Mississippi St. ,W 81 - 77 
01/15/2019, LSU ,L 69 - 83 
01/19/2019, Arkansas ,W 84 - 67 
01/22/2019,@ Alabama ,L 53 - 74 
01/26/2019, Iowa St. ,L 73 - 87 
01/30/2019,@ Florida ,L 86 - 90 (1OT)
02/02/2019, Mississippi St. ,L 75 - 81 
02/06/2019, Texas A&M ,W 75 - 71 
02/09/2019,@ Georgia ,W 80 - 64 
02/13/2019,@ Auburn ,W 60 - 55 
02/16/2019, Missouri ,W 75 - 65 
02/19/2019,@ South Carolina ,L 64 - 79 
02/23/2019, Georgia ,W 72 - 71 
02/27/2019, Tennessee ,L 71 - 73 
03/02/2019,@ Arkansas ,L 73 - 74 
03/05/2019, Kentucky ,L 76 - 80 
03/09/2019,@ Missouri ,W 73 - 68 
03/14/2019, Alabama ,L 57 - 62 
