11/09/2018,@ Santa Clara ,W 81 - 64 
11/12/2018,@ Baylor ,L 80 - 91 
11/14/2018,@ UTRGV ,L 57 - 70 
11/17/2018,@ Lamar University ,L 67 - 74 
11/19/2018,@ UNC Greensboro ,L 66 - 74 
11/21/2018,@ East Carolina ,L 64 - 76 
11/23/2018,@ Georgia Tech ,L 54 - 65 
12/01/2018,@ Murray St. ,L 67 - 83 
12/04/2018,@ Louisiana Tech ,L 68 - 82 
12/11/2018,@ Louisiana ,L 90 - 122 
12/20/2018,@ Seattle U ,L 64 - 102 
12/29/2018,@ Winthrop ,L 62 - 76 
01/02/2019, Huston-Tillotson ,W 81 - 65 
01/05/2019,@ Southern U. ,W 82 - 73 
01/07/2019,@ Alcorn ,W 57 - 54 
01/12/2019, Texas Southern ,W 79 - 73 
01/19/2019, Jackson St. ,W 55 - 51 
01/21/2019, Grambling ,W 83 - 66 
01/26/2019,@ Mississippi Val. ,W 89 - 78 
01/28/2019,@ Ark.-Pine Bluff ,W 79 - 63 
02/02/2019, Alabama A&M ,W 81 - 65 
02/04/2019, Alabama St. ,W 69 - 67 
02/09/2019,@ Texas Southern ,L 90 - 95 
02/16/2019,@ Jackson St. ,W 79 - 66 
02/18/2019,@ Grambling ,W 92 - 87 
02/23/2019, Mississippi Val. ,W 69 - 63 
02/25/2019, Ark.-Pine Bluff ,W 48 - 44 
03/02/2019,@ Alabama A&M ,W 72 - 65 
03/04/2019,@ Alabama St. ,W 96 - 69 
03/07/2019, Southern U. ,W 73 - 55 
03/09/2019, Alcorn ,W 98 - 64 
03/12/2019, Alcorn ,W 86 - 66 
03/15/2019, Grambling ,W 81 - 71 
03/16/2019, Texas Southern ,W 92 - 86 
