11/06/2018, Fairfield ,W 90 - 57 
11/10/2018, Ball St. ,W 84 - 75 
11/15/2018, Appalachian St. ,W 92 - 70 
11/16/2018, Davidson ,W 79 - 58 
11/18/2018, Virginia Tech ,L 83 - 89 
11/23/2018, Robert Morris ,W 84 - 46 
11/28/2018,@ Florida St. ,L 72 - 73 
12/01/2018,@ Michigan ,L 57 - 76 
12/06/2018, Maryland ,W 62 - 60 
12/09/2018,@ Texas ,L 68 - 72 
12/15/2018, Notre Dame ,L 80 - 88 
12/20/2018, Ohio ,W 95 - 67 
12/29/2018, Belmont ,W 73 - 62 
01/03/2019, Iowa ,W 86 - 70 
01/08/2019,@ Michigan St. ,L 59 - 77 
01/11/2019,@ Wisconsin ,W 84 - 80 (1OT)
01/15/2019, Rutgers ,W 89 - 54 
01/19/2019, Indiana ,W 70 - 55 
01/23/2019,@ Ohio St. ,W 79 - 67 
01/27/2019, Michigan St. ,W 73 - 63 
01/31/2019,@ Penn St. ,W 99 - 90 (1OT)
02/03/2019, Minnesota ,W 73 - 63 
02/09/2019, Nebraska ,W 81 - 62 
02/12/2019,@ Maryland ,L 56 - 70 
02/16/2019, Penn St. ,W 76 - 64 
02/19/2019,@ Indiana ,W 48 - 46 
02/23/2019,@ Nebraska ,W 75 - 72 
02/27/2019, Illinois ,W 73 - 56 
03/02/2019, Ohio St. ,W 86 - 51 
03/05/2019,@ Minnesota ,L 69 - 73 
03/09/2019,@ Northwestern ,W 70 - 57 
03/15/2019, Minnesota ,L 73 - 75 
