11/06/2018, Southeast Mo. St. ,W 75 - 65 
11/10/2018, Troy ,W 62 - 58 
11/13/2018, North Ala. ,W 69 - 58 
11/17/2018,@ Seton Hall ,W 66 - 64 
11/21/2018, Pittsburgh ,L 73 - 75 
11/24/2018, Central Ark. ,W 73 - 61 
12/01/2018, Butler ,W 64 - 52 
12/05/2018,@ Southern Ill. ,L 56 - 61 
12/09/2018, Oregon St. ,W 65 - 61 
12/16/2018,@ Houston ,L 64 - 68 
12/19/2018, N.C. Central ,W 74 - 65 
12/22/2018, Florida St. ,L 59 - 81 
12/30/2018, Appalachian St. ,W 83 - 55 
01/06/2019, Rhode Island ,W 60 - 53 
01/09/2019, Massachusetts ,W 65 - 62 
01/12/2019,@ La Salle ,W 71 - 64 
01/15/2019,@ Fordham ,W 63 - 60 
01/18/2019, Saint Joseph's ,W 68 - 57 
01/23/2019,@ Duquesne ,L 73 - 77 
01/26/2019, Davidson ,L 53 - 54 
01/30/2019, Richmond ,L 81 - 84 
02/02/2019,@ Rhode Island ,L 54 - 65 
02/05/2019, Dayton ,W 73 - 60 
02/08/2019,@ Saint Joseph's ,L 61 - 91 
02/13/2019,@ George Washington ,W 73 - 58 
02/16/2019, La Salle ,W 62 - 49 
02/23/2019,@ Dayton ,L 62 - 70 
02/26/2019,@ VCU ,L 65 - 71 
03/02/2019, George Mason ,W 81 - 71 
03/06/2019, Duquesne ,W 85 - 75 
03/09/2019,@ St. Bonaventure ,L 57 - 66 
03/14/2019, Richmond ,W 71 - 68 
03/15/2019, Dayton ,W 64 - 55 
03/16/2019, Davidson ,W 67 - 44 
03/17/2019, St. Bonaventure ,W 55 - 53 
