11/07/2018, McNeese ,W 87 - 65 
11/11/2018, Utah Valley ,W 92 - 63 
11/14/2018,@ New Mexico St. ,W 73 - 58 
11/19/2018, Utah St. ,L 63 - 80 
11/21/2018, Mississippi St. ,L 57 - 61 
11/24/2018, Harvard ,L 68 - 74 
11/28/2018, UC Irvine ,L 75 - 80 
12/01/2018, California ,W 84 - 71 
12/04/2018, Bethune-Cookman ,W 93 - 61 
12/07/2018, New Mexico ,W 85 - 60 
12/10/2018, Cal St. Fullerton ,W 81 - 66 
12/15/2018, LSU ,L 74 - 78 
12/19/2018, Bucknell ,W 85 - 56 
12/22/2018,@ Western Ky. ,L 68 - 71 
12/29/2018, San Jose St. ,W 75 - 45 
01/03/2019,@ San Francisco ,L 72 - 76 
01/05/2019, BYU ,W 88 - 66 
01/12/2019,@ Loyola Marymount ,W 71 - 60 
01/17/2019, Santa Clara ,W 75 - 55 
01/19/2019, San Diego ,W 76 - 59 
01/24/2019,@ BYU ,L 66 - 71 
01/26/2019,@ Pepperdine ,L 77 - 84 (1OT)
02/02/2019, San Francisco ,W 86 - 80 
02/07/2019, Pacific ,W 78 - 66 
02/09/2019,@ Gonzaga ,L 46 - 94 
02/14/2019,@ Santa Clara ,W 66 - 55 
02/16/2019, Pepperdine ,W 72 - 65 
02/21/2019,@ Pacific ,W 58 - 32 
02/23/2019,@ San Diego ,W 66 - 46 
02/28/2019, Portland ,W 65 - 48 
03/02/2019, Gonzaga ,L 55 - 69 
03/11/2019, San Diego ,W 69 - 62 
03/12/2019, Gonzaga ,W 60 - 47 
