11/06/2018, Wagner ,W 89 - 49 
11/14/2018,@ Nebraska ,L 57 - 80 
11/17/2018, Saint Louis ,L 64 - 66 
11/22/2018, Grand Canyon ,W 82 - 75 
11/23/2018, Hawaii ,W 64 - 54 
11/25/2018, Miami (FL) ,W 83 - 81 
12/01/2018, Louisville ,L 65 - 70 
12/04/2018, New Hampshire ,W 77 - 57 
12/08/2018, Kentucky ,W 84 - 83 (1OT)
12/15/2018, Rutgers ,W 72 - 66 
12/19/2018, Sacred Heart ,W 90 - 76 
12/22/2018,@ Maryland ,W 78 - 74 
12/29/2018, St. John's (NY) ,W 76 - 74 
01/02/2019,@ Xavier ,W 80 - 70 
01/06/2019,@ DePaul ,L 74 - 75 
01/09/2019, Butler ,W 76 - 75 
01/12/2019,@ Marquette ,L 66 - 70 
01/15/2019,@ Providence ,L 63 - 72 
01/19/2019, DePaul ,L 93 - 97 
01/27/2019,@ Villanova ,L 52 - 80 
01/30/2019, Providence ,W 65 - 63 
02/02/2019,@ Butler ,L 68 - 70 
02/09/2019, Creighton ,W 63 - 58 
02/13/2019, Georgetown ,W 90 - 75 
02/17/2019,@ Creighton ,W 81 - 75 
02/20/2019, Xavier ,L 69 - 70 
02/23/2019,@ St. John's (NY) ,L 70 - 78 
03/02/2019,@ Georgetown ,L 71 - 77 (2OT)
03/06/2019, Marquette ,W 73 - 64 
03/09/2019, Villanova ,W 79 - 75 
03/14/2019, Georgetown ,W 73 - 57 
03/15/2019, Marquette ,W 81 - 79 
03/16/2019, Villanova ,L 72 - 74 
