11/06/2018, Loyola Maryland ,W 76 - 55 
11/09/2018, Bowling Green ,W 84 - 80 
11/16/2018,@ Rutgers ,W 84 - 65 
11/19/2018, California ,W 82 - 79 
11/20/2018, VCU ,W 87 - 86 (1OT)
11/27/2018, UMES ,W 85 - 64 
12/01/2018, Georgia Tech ,W 76 - 73 
12/05/2018, Mount St. Mary's ,W 85 - 71 
12/09/2018, Princeton ,W 89 - 74 
12/16/2018, Wagner ,W 73 - 58 
12/19/2018, St. Francis Brooklyn ,W 86 - 52 
12/22/2018, Sacred Heart ,W 104 - 82 
12/29/2018,@ Seton Hall ,L 74 - 76 
01/01/2019, Marquette ,W 89 - 69 
01/05/2019,@ Georgetown ,W 97 - 94 (1OT)
01/08/2019,@ Villanova ,L 71 - 76 
01/12/2019, DePaul ,L 71 - 79 
01/16/2019, Creighton ,W 81 - 66 
01/19/2019,@ Butler ,L 71 - 80 
01/27/2019, Georgetown ,L 78 - 89 
01/30/2019,@ Creighton ,W 83 - 67 
02/02/2019,@ Duke ,L 61 - 91 
02/05/2019,@ Marquette ,W 70 - 69 
02/09/2019, Providence ,L 56 - 70 
02/12/2019, Butler ,W 77 - 73 (1OT)
02/17/2019, Villanova ,W 71 - 65 
02/20/2019,@ Providence ,L 59 - 78 
02/23/2019, Seton Hall ,W 78 - 70 
02/28/2019, Xavier ,L 73 - 84 
03/03/2019,@ DePaul ,L 83 - 92 
03/09/2019,@ Xavier ,L 68 - 81 
03/13/2019, DePaul ,W 82 - 74 
03/14/2019,@ Marquette ,L 54 - 86 
