11/06/2018, Eastern Wash. ,W 66 - 34 
11/10/2018, Morehead St. ,W 84 - 70 
11/15/2018, UConn ,L 76 - 83 
11/16/2018, Oregon ,L 65 - 80 
11/21/2018, Colgate ,W 77 - 56 
11/28/2018,@ Ohio St. ,W 72 - 62 
12/01/2018, Cornell ,W 63 - 55 
12/04/2018, Northeastern ,W 72 - 49 
12/08/2018, Georgetown ,W 72 - 71 
12/15/2018, Old Dominion ,L 62 - 68 
12/18/2018, Buffalo ,L 59 - 71 
12/22/2018, Arkansas St. ,W 82 - 52 
12/29/2018, St. Bonaventure ,W 81 - 48 
01/05/2019,@ Notre Dame ,W 72 - 62 
01/09/2019, Clemson ,W 61 - 53 
01/12/2019, Georgia Tech ,L 59 - 73 
01/14/2019,@ Duke ,W 95 - 91 (1OT)
01/19/2019, Pittsburgh ,W 74 - 63 
01/24/2019, Miami (FL) ,W 73 - 53 
01/26/2019,@ Virginia Tech ,L 56 - 78 
01/30/2019,@ Boston College ,W 77 - 71 
02/02/2019,@ Pittsburgh ,W 65 - 56 
02/05/2019, Florida St. ,L 62 - 80 
02/09/2019, Boston College ,W 67 - 56 
02/13/2019,@ NC State ,L 58 - 73 
02/20/2019, Louisville ,W 69 - 49 
02/23/2019, Duke ,L 65 - 75 
02/26/2019,@ North Carolina ,L 85 - 93 
03/02/2019,@ Wake Forest ,W 79 - 54 
03/04/2019, Virginia ,L 53 - 79 
03/09/2019,@ Clemson ,L 55 - 67 
03/13/2019, Pittsburgh ,W 73 - 59 
03/14/2019, Duke ,L 72 - 84 
