11/06/2018, La Salle ,W 75 - 67 
11/09/2018, Detroit Mercy ,W 83 - 67 
11/13/2018, Georgia ,W 81 - 77 
11/16/2018, Loyola Maryland ,W 81 - 67 
11/19/2018, VCU ,L 51 - 57 
11/20/2018, California ,W 76 - 59 
11/27/2018,@ Missouri ,W 79 - 77 
12/01/2018,@ Saint Joseph's ,W 77 - 70 
12/05/2018,@ Villanova ,L 59 - 69 
12/12/2018, Massachusetts ,W 65 - 63 
12/15/2018, Davidson ,W 77 - 75 (1OT)
12/22/2018,@ Drexel ,W 82 - 64 
01/02/2019,@ UCF ,L 73 - 78 
01/06/2019,@ Wichita St. ,W 85 - 81 (1OT)
01/09/2019, Houston ,W 73 - 69 
01/12/2019, South Fla. ,W 82 - 80 (1OT)
01/16/2019,@ East Carolina ,W 85 - 74 
01/19/2019, Penn ,L 70 - 77 
01/24/2019, Memphis ,W 85 - 76 
01/27/2019, Cincinnati ,L 68 - 72 
01/31/2019,@ Houston ,L 66 - 73 
02/02/2019,@ Tulane ,W 75 - 67 
02/06/2019, UConn ,W 81 - 63 
02/09/2019,@ Tulsa ,L 58 - 76 
02/13/2019, SMU ,W 82 - 74 
02/16/2019,@ South Fla. ,W 70 - 69 (1OT)
02/23/2019, Tulsa ,W 84 - 73 
02/26/2019,@ Memphis ,L 73 - 81 
03/03/2019, Tulane ,W 80 - 69 
03/07/2019,@ UConn ,W 78 - 71 
03/09/2019, UCF ,W 67 - 62 
03/15/2019, Wichita St. ,L 74 - 80 
