11/06/2018, Lenoir-Rhyne ,W 86 - 41
11/09/2018, Louisiana ,W 87 - 65
11/13/2018, Georgia Tech ,W 66 - 53
11/21/2018, Louisville ,W 92 - 81
11/23/2018, Kansas ,L 81 - 87 (1OT)
11/28/2018, Eastern Ky. ,W 95 - 67
12/02/2018, A&M-Corpus Christi ,W 79 - 51
12/09/2018, Gonzaga ,W 76 - 73
12/15/2018,@ Memphis ,W 102 - 92
12/19/2018, Samford ,W 83 - 70
12/22/2018, Wake Forest ,W 83 - 64
12/29/2018, Tennessee Tech ,W 96 - 53
01/05/2019, Georgia ,W 96 - 50
01/08/2019, Missouri ,W 87 - 63 
01/12/2019,@ Florida ,W 78 - 67
01/15/2019, Arkansas ,W 106 - 87
01/19/2019, Alabama ,W 71 - 68
01/23/2019,@ Vanderbilt ,W 88 - 83 (1OT)
01/26/2019, West Virginia ,W 83 - 66
01/29/2019,@ South Carolina ,W 92 - 70
02/02/2019,@ Texas A&M ,W 93 - 76
02/05/2019, Missouri ,W 72 - 60
02/09/2019, Florida ,W 73 - 61
02/13/2019, South Carolina ,W 85 - 73
02/16/2019,@ Kentucky ,L 69 - 86
02/19/2019, Vanderbilt ,W 58 - 46
02/23/2019,@ LSU ,L 80 - 82 (1OT)
02/27/2019,@ Ole Miss ,W 73 - 71
03/02/2019, Kentucky ,W 71 - 52
03/05/2019, Mississippi St. ,W 71 - 54
03/09/2019,@ Auburn ,L 80 - 84
03/15/2019, Mississippi St. ,W 83 - 76
03/16/2019, Kentucky ,W 82 - 78
03/17/2019, Auburn ,L 64 - 84
