11/06/2018, Incarnate Word ,W 87 - 37
11/09/2018, Mississippi Val. ,W 84 - 52
11/13/2018, Southeastern La. ,W 59 - 40
11/19/2018, Southern California ,W 78 - 63
11/20/2018, Nebraska ,W 70 - 52
11/24/2018, Northern Colo. ,W 93 - 62
12/01/2018, Memphis ,W 78 - 67
12/05/2018, Ark.-Pine Bluff ,W 65 - 47
12/12/2018, Northwestern St. ,W 79 - 44
12/15/2018, Abilene Christian ,W 82 - 48
12/20/2018, Duke ,L 58 - 69
12/28/2018, UTRGV ,W 71 - 46
01/02/2019,@ West Virginia ,W 62 - 59
01/05/2019, Kansas St. ,W 63 - 57
01/08/2019, Oklahoma ,W 66 - 59
01/12/2019,@ Texas ,W 68 - 62
01/16/2019, Iowa St. ,L 64 - 68
01/19/2019,@ Baylor ,L 62 - 73
01/22/2019,@ Kansas St. ,L 45 - 58
01/26/2019, Arkansas ,W 67 - 64
01/28/2019, TCU ,W 84 - 65
02/02/2019,@ Kansas ,L 63 - 79
02/04/2019, West Virginia ,W 81 - 50
02/09/2019,@ Oklahoma ,W 66 - 54
02/13/2019,@ Oklahoma St. ,W 78 - 50
02/16/2019, Baylor ,W 86 - 61
02/23/2019, Kansas ,W 91 - 62
02/27/2019, Oklahoma St. ,W 84 - 80 (1OT)
03/02/2019,@ TCU ,W 81 - 66
03/04/2019, Texas ,W 70 - 51
03/09/2019,@ Iowa St. ,W 80 - 73
03/14/2019, West Virginia ,L 74 - 79 
