11/06/2018, Idaho ,W 86 - 68 
11/09/2018,@ Texas A&M ,W 74 - 73 
11/12/2018, LIFE Pacific ,W 87 - 53 
11/15/2018,@ Santa Clara ,W 61 - 49 
11/19/2018, UTSA ,W 65 - 56 
11/20/2018, Tulane ,W 67 - 55 
11/21/2018, Toledo ,L 60 - 67 
11/28/2018,@ Saint Mary's (CA) ,W 80 - 75 
12/01/2018, Utah St. ,L 65 - 89 
12/05/2018,@ California Baptist ,W 69 - 66 
12/08/2018, Montana ,W 60 - 51 
12/15/2018, Denver ,W 86 - 52 
12/19/2018,@ Eastern Mich. ,W 52 - 48 
12/21/2018,@ Butler ,L 54 - 71 
12/29/2018,@ Pacific ,L 75 - 84 (1OT)
01/03/2019, UTRGV ,W 85 - 74 
01/10/2019, UC Davis ,W 71 - 69 (1OT)
01/12/2019,@ Cal St. Fullerton ,W 63 - 46 
01/16/2019, Long Beach St. ,L 70 - 80 
01/19/2019,@ CSUN ,W 74 - 68 
01/23/2019,@ Hawaii ,W 75 - 74 (1OT)
01/26/2019, UC Riverside ,W 82 - 64 
01/31/2019,@ UC Santa Barbara ,W 66 - 62 (1OT)
02/02/2019,@ Long Beach St. ,W 82 - 80 
02/06/2019, Cal St. Fullerton ,W 60 - 53 
02/09/2019, Hawaii ,W 67 - 56 
02/16/2019, UC Santa Barbara ,W 83 - 70 
02/21/2019, Cal Poly ,W 74 - 47 
02/28/2019,@ UC Davis ,W 64 - 48 
03/02/2019,@ UC Riverside ,W 68 - 47 
03/07/2019,@ Cal Poly ,W 110 - 72 
03/09/2019, CSUN ,W 86 - 74 
03/14/2019, UC Riverside ,W 63 - 44 
03/15/2019, Long Beach St. ,W 75 - 67 
03/16/2019, Cal St. Fullerton ,W 92 - 64 
