11/06/2018,@ Montana St. ,W 101 - 71 
11/09/2018, Hartford ,W 100 - 73 
11/13/2018, Mississippi Val. ,W 94 - 59 
11/16/2018, Utah Valley ,W 65 - 46 
11/19/2018, Saint Mary's (CA) ,W 80 - 63 
11/21/2018, Arizona St. ,L 82 - 87 
11/28/2018, UNI ,W 71 - 52 
12/01/2018,@ UC Irvine ,W 89 - 65 
12/05/2018,@ BYU ,L 80 - 95 
12/08/2018, Weber St. ,W 76 - 67 
12/15/2018, Alabama St. ,W 86 - 48 
12/20/2018,@ Houston ,L 50 - 60 
12/28/2018, Eastern Ore. ,W 84 - 57 
01/02/2019,@ Nevada ,L 49 - 72 
01/05/2019, Air Force ,W 79 - 62 
01/09/2019, Fresno St. ,L 77 - 78 
01/12/2019,@ Wyoming ,W 71 - 55 
01/16/2019,@ San Jose St. ,W 81 - 63 
01/19/2019, Colorado St. ,W 87 - 72 
01/26/2019,@ New Mexico ,W 68 - 66 
01/30/2019, San Jose St. ,W 103 - 73 
02/02/2019, UNLV ,W 82 - 65 
02/05/2019,@ Fresno St. ,W 82 - 81 
02/09/2019,@ San Diego St. ,L 63 - 68 
02/13/2019, Wyoming ,W 76 - 59 
02/16/2019,@ Air Force ,W 76 - 62 
02/20/2019, New Mexico ,W 71 - 55 
02/23/2019,@ Boise St. ,W 78 - 71 (1OT)
02/26/2019, San Diego St. ,W 70 - 54 
03/02/2019, Nevada ,W 81 - 76 
03/05/2019,@ Colorado St. ,W 100 - 96 (1OT)
03/14/2019, New Mexico ,W 91 - 83 
03/15/2019, Fresno St. ,W 85 - 60 
03/16/2019, San Diego St. ,W 64 - 57 
