11/06/2018, Gardner-Webb ,W 69 - 57 
11/09/2018, Hampton ,W 69 - 57 
11/12/2018, Bowling Green ,W 72 - 61 
11/19/2018, Temple ,W 57 - 51 
11/20/2018, St. John's (NY) ,L 86 - 87 (1OT)
11/24/2018, Hofstra ,W 69 - 67 (1OT)
11/28/2018,@ Old Dominion ,L 52 - 62 
12/01/2018, Iona ,W 88 - 59 
12/05/2018,@ Texas ,W 54 - 53 
12/09/2018,@ Virginia ,L 49 - 57 
12/15/2018, Col. of Charleston ,L 79 - 83 
12/22/2018, Wichita St. ,W 70 - 54 
12/30/2018, Rider ,W 90 - 79 
01/05/2019,@ Fordham ,W 76 - 51 
01/09/2019, La Salle ,W 69 - 63 
01/12/2019,@ Davidson ,L 57 - 64 
01/16/2019, Dayton ,W 76 - 71 
01/19/2019, Massachusetts ,W 68 - 50 
01/23/2019,@ Rhode Island ,L 65 - 71 
01/26/2019,@ Duquesne ,W 80 - 74 
02/02/2019, George Mason ,W 79 - 63 
02/06/2019,@ George Washington ,W 60 - 50 
02/09/2019,@ St. Bonaventure ,W 85 - 55 
02/13/2019, Richmond ,W 81 - 60 
02/16/2019,@ Dayton ,W 69 - 68 
02/19/2019, Rhode Island ,W 76 - 42 
02/23/2019, George Washington ,W 85 - 57 
02/26/2019, Saint Louis ,W 71 - 65 
03/02/2019,@ Richmond ,W 69 - 66 
03/05/2019,@ George Mason ,W 71 - 36 
03/08/2019, Saint Joseph's ,W 75 - 63 
03/15/2019, Rhode Island ,L 70 - 75 
