11/09/2018, Gardner-Webb ,W 87 - 59 
11/15/2018, Ball St. ,W 73 - 64 
11/16/2018, Northeastern ,W 88 - 60 
11/18/2018, Purdue ,W 89 - 83 
11/24/2018, Saint Francis (PA) ,W 75 - 37 
11/27/2018,@ Penn St. ,L 62 - 63 
12/01/2018, Central Conn. St. ,W 94 - 40 
12/05/2018, VMI ,W 89 - 68 
12/09/2018, South Carolina St. ,W 81 - 44 
12/15/2018, Washington ,W 73 - 61 
12/19/2018, N.C. A&T ,W 82 - 60 
12/28/2018, UMES ,W 85 - 40 
01/01/2019, Notre Dame ,W 81 - 66 
01/05/2019, Boston College ,W 77 - 66 
01/09/2019,@ Georgia Tech ,W 52 - 49 
01/15/2019,@ Virginia ,L 59 - 81 
01/19/2019, Wake Forest ,W 87 - 71 
01/21/2019,@ North Carolina ,L 82 - 103 
01/26/2019, Syracuse ,W 78 - 56 
01/30/2019,@ Miami (FL) ,W 82 - 70 
02/02/2019,@ NC State ,W 47 - 24 
02/04/2019, Louisville ,L 64 - 72 
02/09/2019,@ Clemson ,L 51 - 59 
02/13/2019, Georgia Tech ,W 76 - 68 
02/16/2019,@ Pittsburgh ,W 70 - 64 
02/18/2019, Virginia ,L 58 - 64 
02/23/2019,@ Notre Dame ,W 67 - 59 
02/26/2019, Duke ,W 77 - 72 
03/05/2019,@ Florida St. ,L 64 - 73 (1OT)
03/08/2019, Miami (FL) ,W 84 - 70 
03/13/2019, Miami (FL) ,W 71 - 56 
03/14/2019, Florida St. ,L 63 - 65 (1OT)
