11/06/2018, Towson ,W 73 - 42 
11/11/2018, George Washington ,W 76 - 57 
11/16/2018, Coppin St. ,W 97 - 40 
11/21/2018, Middle Tenn. ,W 74 - 52 
11/22/2018, Dayton ,W 66 - 59 
11/23/2018, Wisconsin ,W 53 - 46 
11/28/2018,@ Maryland ,W 76 - 71 
12/03/2018, Morgan St. ,W 83 - 45 
12/09/2018, VCU ,W 57 - 49 
12/19/2018,@ South Carolina ,W 69 - 52 
12/22/2018, William & Mary ,W 72 - 40 
12/31/2018, Marshall ,W 100 - 64 
01/05/2019, Florida St. ,W 65 - 52 
01/09/2019,@ Boston College ,W 83 - 56 
01/12/2019,@ Clemson ,W 63 - 43 
01/15/2019, Virginia Tech ,W 81 - 59 
01/19/2019,@ Duke ,L 70 - 72 
01/22/2019, Wake Forest ,W 68 - 45 
01/26/2019,@ Notre Dame ,W 82 - 55 
01/29/2019,@ NC State ,W 66 - 65 (1OT)
02/02/2019, Miami (FL) ,W 56 - 46 
02/09/2019, Duke ,L 71 - 81 
02/11/2019,@ North Carolina ,W 69 - 61 
02/16/2019, Notre Dame ,W 60 - 54 
02/18/2019,@ Virginia Tech ,W 64 - 58 
02/23/2019,@ Louisville ,W 64 - 52 
02/27/2019, Georgia Tech ,W 81 - 51 
03/02/2019, Pittsburgh ,W 73 - 49 
03/04/2019,@ Syracuse ,W 79 - 53 
03/09/2019, Louisville ,W 73 - 68 
03/14/2019, NC State ,W 76 - 56 
03/15/2019, Florida St. ,L 59 - 69 
