11/06/2018, Western Ky. ,W 73 - 55 
11/09/2018,@ Auburn ,L 66 - 88 
11/12/2018, San Diego ,W 66 - 63 
11/18/2018, Santa Clara ,W 82 - 68 
11/20/2018, Texas A&M ,W 71 - 67 
11/21/2018, Minnesota ,L 66 - 68 
11/27/2018, Eastern Wash. ,W 83 - 59 
12/02/2018, UC Santa Barbara ,W 67 - 63 
12/05/2018,@ Gonzaga ,L 79 - 81 
12/09/2018, Seattle U ,W 70 - 62 
12/15/2018, Virginia Tech ,L 61 - 73 
12/21/2018, Sacramento St. ,W 57 - 41 
01/01/2019, Cal St. Fullerton ,W 84 - 76 
01/05/2019, Washington St. ,W 85 - 67 
01/10/2019,@ Utah ,W 69 - 53 
01/12/2019,@ Colorado ,W 77 - 70 
01/17/2019, Stanford ,W 80 - 64 
01/19/2019, California ,W 71 - 52 
01/24/2019,@ Oregon ,W 61 - 56 
01/26/2019,@ Oregon St. ,W 79 - 69 
01/30/2019, Southern California ,W 75 - 62 
02/02/2019, UCLA ,W 69 - 55 
02/07/2019,@ Arizona ,W 67 - 60 
02/09/2019,@ Arizona St. ,L 63 - 75 
02/16/2019,@ Washington St. ,W 72 - 70 
02/20/2019, Utah ,W 62 - 45 
02/23/2019, Colorado ,W 64 - 55 
02/28/2019,@ California ,L 73 - 76 
03/03/2019,@ Stanford ,W 62 - 61 
03/06/2019, Oregon St. ,W 81 - 76 (1OT)
03/09/2019, Oregon ,L 47 - 55 
03/14/2019, Southern California ,W 78 - 75 
03/15/2019, Colorado ,W 66 - 61 
03/16/2019, Oregon ,L 48 - 68 
