11/06/2018, Coppin St. ,W 85 - 63 
11/13/2018,@ Xavier ,W 77 - 68 
11/17/2018, Houston Baptist ,W 96 - 59 
11/21/2018, Stanford ,W 62 - 46 
11/22/2018, Oklahoma ,W 78 - 58 
11/23/2018, Virginia ,L 46 - 53 
11/27/2018, NC State ,W 79 - 75 
11/30/2018,@ Iowa ,W 72 - 66 
12/03/2018, Rutgers ,W 69 - 64 
12/08/2018,@ Marquette ,L 69 - 74 (1OT)
12/13/2018, Savannah St. ,W 101 - 60 
12/22/2018, Grambling ,W 84 - 53 
12/29/2018,@ Western Ky. ,L 76 - 83 
01/03/2019, Minnesota ,L 52 - 59 
01/06/2019,@ Penn St. ,W 71 - 52 
01/11/2019, Purdue ,L 80 - 84 (1OT)
01/14/2019,@ Maryland ,L 60 - 64 
01/19/2019, Michigan ,W 64 - 54 
01/23/2019,@ Illinois ,W 72 - 60 
01/26/2019, Northwestern ,W 62 - 46 
01/29/2019,@ Nebraska ,W 62 - 51 
02/01/2019, Maryland ,W 69 - 61 
02/06/2019,@ Minnesota ,W 56 - 51 
02/09/2019,@ Michigan ,L 52 - 61 
02/12/2019, Michigan St. ,L 59 - 67 
02/18/2019, Illinois ,W 64 - 58 
02/23/2019,@ Northwestern ,W 69 - 64 
02/26/2019,@ Indiana ,L 73 - 75 (2OT)
03/02/2019, Penn St. ,W 61 - 57 
03/07/2019, Iowa ,W 65 - 45 
03/10/2019,@ Ohio St. ,W 73 - 67 (1OT)
03/15/2019, Nebraska ,W 66 - 62 
03/16/2019, Michigan St. ,L 55 - 67 
