11/06/2018, North Carolina ,L 67 - 78
11/10/2018,@ High Point ,W 68 - 60
11/13/2018, Carver ,W 94 - 35
11/18/2018,@ Oklahoma ,L 64 - 75
11/21/2018, Coppin St. ,W 99 - 65
11/23/2018, Mars Hill ,W 97 - 46
11/26/2018,@ South Carolina ,W 81 - 61
12/01/2018, ETSU ,W 79 - 62
12/04/2018,@ Kansas ,L 47 - 72
12/06/2018, Ky. Christian ,W 112 - 58
12/09/2018, Coastal Caro. ,W 82 - 71
12/15/2018, UNC Asheville ,W 92 - 49
12/19/2018,@ Mississippi St. ,L 87 - 98
12/29/2018,@ Western Caro. ,W 74 - 54
01/03/2019, The Citadel ,W 112 - 81
01/05/2019, Mercer ,W 78 - 74
01/10/2019,@ UNC Greensboro ,W 72 - 43
01/12/2019,@ VMI ,W 90 - 76
01/19/2019, Furman ,W 59 - 54
01/24/2019, Samford ,W 107 - 106 (1OT)
01/26/2019, Chattanooga ,W 80 - 69
01/31/2019,@ Mercer ,W 76 - 67
02/02/2019,@ The Citadel ,W 99 - 61
02/07/2019,@ ETSU ,W 78 - 76 (1OT)
02/09/2019, Western Caro. ,W 83 - 56
02/14/2019, VMI ,W 95 - 84
02/16/2019, UNC Greensboro ,W 80 - 50
02/23/2019,@ Furman ,W 72 - 64
02/28/2019,@ Chattanooga ,W 80 - 54
03/02/2019,@ Samford ,W 85 - 64
03/09/2019, VMI ,W 99 - 72
03/10/2019, ETSU ,W 81 - 72
03/11/2019, UNC Greensboro ,W 70 - 58
