rank,name,conference,record,away_record,tournament_record,home_record
1,Virginia,ACC,0.8125,0.8181818181818182,0.6,0.875
2,Gonzaga,WCC,0.8181818181818182,0.8,0.3333333333333333,1.0
3,Duke,ACC,0.7058823529411765,0.5555555555555556,0.75,0.7647058823529411
4,Houston,AAC,0.8235294117647058,0.8333333333333334,0.0,0.9
5,Tennessee,SEC,0.7058823529411765,0.4,0.3333333333333333,1.0
6,Kentucky,SEC,0.6363636363636364,0.6,-0.2,0.8888888888888888
7,North Carolina,ACC,0.6363636363636364,0.8333333333333334,-0.2,0.75
8,Michigan St,Big Ten,0.6470588235294118,0.3333333333333333,0.6666666666666666,0.875
9,Michigan,Big Ten,0.6470588235294118,0.2727272727272727,0.6,0.8888888888888888
10,Texas Tech,Big 12,0.625,0.3333333333333333,0.2,0.8888888888888888
11,Virginia Tech,ACC,0.5,0.0,0.6666666666666666,0.75
12,Purdue,Big Ten,0.4375,0.0,-0.2,1.0
13,Wofford,SoCon,0.7575757575757576,0.5714285714285714,1.0,0.8461538461538461
14,LSU,SEC,0.625,0.8,-0.2,0.7647058823529411
15,Buffalo,MAC,0.8235294117647058,0.6,1.0,1.0
16,Florida St,ACC,0.5882352941176471,0.2,0.5,0.875
17,Wisconsin,Big Ten,0.3939393939393939,0.23076923076923078,0.2,0.6
18,Auburn,SEC,0.4857142857142857,-0.2,0.75,0.75
19,Mississippi St,SEC,0.3939393939393939,0.0,0.3333333333333333,0.6470588235294118
20,Kansas,Big 12,0.47058823529411764,-0.45454545454545453,0.6666666666666666,1.0
21,Iowa St,Big 12,0.35294117647058826,-0.09090909090909091,0.7142857142857143,0.5
22,Louisville,ACC,0.21212121212121213,-0.09090909090909091,-0.5,0.5555555555555556
23,Nevada,MWC,0.7575757575757576,0.5,0.6666666666666666,1.0
24,Kansas St,Big 12,0.5151515151515151,0.16666666666666666,0.6,0.75
25,Cincinnati,AAC,0.6470588235294118,0.2727272727272727,1.0,0.7777777777777778
26,Villanova,Big East,0.47058823529411764,-0.16666666666666666,1.0,0.7333333333333333
27,Maryland,Big Ten,0.375,0.09090909090909091,-0.3333333333333333,0.6666666666666666
28,Marquette,Big East,0.45454545454545453,0.2727272727272727,-0.3333333333333333,0.6842105263157895
29,Utah St,MWC,0.6470588235294118,0.38461538461538464,0.6666666666666666,0.8571428571428571
30,UCF,AAC,0.4838709677419355,-0.09090909090909091,1.0,0.7647058823529411
31,Florida,SEC,0.11764705882352941,-0.09090909090909091,0.25,0.2
32,Saint Mary's (CA),WCC,0.3333333333333333,0.0,0.0,0.6470588235294118
33,NC State,ACC,0.3333333333333333,-0.2,0.5,0.5789473684210527
34,VCU,Atlantic 10,0.5625,0.3333333333333333,-0.3333333333333333,0.8823529411764706
35,Clemson,ACC,0.1875,-0.2,-0.2,0.5294117647058824
36,Ole Miss,SEC,0.25,0.09090909090909091,0.2,0.375
37,Oklahoma,Big 12,0.1875,-0.16666666666666666,0.2,0.4666666666666667
38,Texas,Big 12,0.0,-0.6,0.0,0.3333333333333333
39,Baylor,Big 12,0.1875,-0.09090909090909091,-0.3333333333333333,0.4444444444444444
40,New Mexico St,WAC,0.7647058823529411,0.6666666666666666,0.6,0.8666666666666667
41,Furman,SoCon,0.5625,0.4666666666666667,0.0,0.6666666666666666
42,Syracuse,ACC,0.21212121212121213,0.2,-0.5,0.3684210526315789
43,Iowa,Big Ten,0.3333333333333333,-0.2,0.6,0.5555555555555556
44,Murray St,OVC,0.7419354838709677,0.5384615384615384,1.0,0.8571428571428571
45,Washington,Pac-12,0.5294117647058824,0.2727272727272727,0.14285714285714285,0.875
46,Memphis,AAC,0.23529411764705882,-0.4,-0.5,0.7
47,Belmont,OVC,0.6774193548387096,0.6,0.0,0.8461538461538461
48,Nebraska,Big Ten,0.058823529411764705,-0.6363636363636364,0.3333333333333333,0.375
49,Lipscomb,ASUN,0.5625,0.4666666666666667,0,0.6
50,Penn St,Big Ten,-0.125,-0.38461538461538464,-0.5,0.2
51,Oregon,Pac-12,0.3142857142857143,-0.16666666666666666,0.6666666666666666,0.5294117647058824
52,TCU,Big 12,0.21212121212121213,-0.4,0.6666666666666666,0.4117647058823529
53,Creighton,Big East,0.125,-0.2727272727272727,0.5,0.25
54,Indiana,Big Ten,0.0625,-0.5,0.0,0.4444444444444444
55,Ohio St,Big Ten,0.15151515151515152,-0.16666666666666666,0.3333333333333333,0.3333333333333333
56,Temple,AAC,0.4375,0.23076923076923078,0.0,0.7333333333333333
57,Seton Hall,Big East,0.21212121212121213,-0.45454545454545453,0.7142857142857143,0.4666666666666667
58,Liberty,ASUN,0.6470588235294118,0.5714285714285714,-0.3333333333333333,0.8571428571428571
