round_id,team_id
7,Virginia
4,Gonzaga
4,Duke
3,Houston
4,Kentucky
3,Tennessee
3,North Carolina
5,Michigan St
3,Michigan
6,Texas Tech
3,Virginia Tech
4,Purdue
2,Wofford
3,LSU
3,Florida St
2,Buffalo
1,Wisconsin
5,Auburn
2,Kansas
1,Mississippi St
1,Louisville
1,Iowa St
1,Nevada
1,Kansas St
1,Cincinnati
2,Villanova
2,Maryland
1,Marquette
2,UCF
1,Utah St
2,Florida
1,Saint Mary's (CA)
1,VCU
1,Ole Miss
2,Oklahoma
2,Baylor
2,Washington
1,New Mexico St
1,Syracuse
2,Iowa
2,Murray St
1,Belmont
2,Ohio St
3,Oregon
2,Minnesota
1,Seton Hall
2,Liberty
1,Arizona St
2,UC Irvine
1,Vermont
1,Northeastern
1,Yale
1,Old Dominion
1,Saint Louis
1,Northern Ky
1,Montana
1,Georgia St
1,Colgate
1,Abilene Christian
1,Gardner-Webb
1,Bradley
1,Iona
1,Fairleigh Dickinson
1,North Dakota St
