1,1,Virginia,ACC,29-3,10-1,4-1,15-1,0-0

2,2,Gonzaga,WCC,30-3,9-1,4-2,17-0,0-0

3,3,Duke,ACC,28-5,7-2,6-1,15-2,0-0

4,4,Houston,AAC,30-2,10-1,1-0,19-1,0-0

5,5,Kentucky,SEC,27-5,8-2,2-2,17-1,0-0

6,6,Tennessee,SEC,28-4,7-3,3-1,17-0,1-0

7,7,North Carolina,ACC,27-6,11-1,2-3,14-2,0-0

8,8,Michigan St,Big Ten,26-6,8-4,3-1,15-1,0-0

9,9,Michigan,Big Ten,27-5,7-4,3-0,17-1,0-0

10,10,Texas Tech,Big 12,26-6,6-3,3-2,17-1,0-0

11,11,Virginia Tech,ACC,24-8,5-5,5-1,14-2,0-0

12,12,Purdue,Big Ten,23-9,6-6,2-3,15-0,0-0

13,13,Wofford,SoCon,29-4,11-3,3-0,12-1,3-0

14,14,LSU,SEC,26-6,9-1,2-3,15-2,0-0

15,19,Florida St,ACC,27-6,6-4,6-1,15-1,0-0

16,15,Buffalo,MAC,30-3,12-3,4-0,13-0,1-0

17,16,Wisconsin,Big Ten,23-9,8-5,3-1,12-3,0-0

18,17,Auburn,SEC,24-9,4-6,5-1,14-2,1-0

19,21,Kansas,Big 12,25-8,3-8,5-0,17-0,0-0

20,20,Mississippi St,SEC,23-10,5-5,4-2,14-3,0-0

21,22,Louisville,ACC,20-13,5-6,1-3,14-4,0-0

22,23,Iowa St,Big 12,22-11,5-6,5-1,12-4,0-0

23,18,Nevada,MWC,29-4,9-3,5-1,15-0,0-0

24,24,Kansas St,Big 12,25-8,7-5,4-1,14-2,0-0

25,26,Cincinnati,AAC,26-6,7-4,3-0,16-2,0-0

26,25,Villanova,Big East,24-9,5-7,6-0,13-2,0-0

27,29,Maryland,Big Ten,22-10,6-5,1-2,15-3,0-0

28,28,Marquette,Big East,24-9,7-4,1-2,16-3,0-0

29,27,UCF,AAC,23-8,5-6,3-0,15-2,0-0

30,30,Utah St,MWC,27-6,9-4,4-1,13-1,1-0

31,32,Florida,SEC,19-14,5-6,5-2,9-6,0-0

32,34,Saint Mary's (CA),WCC,22-11,5-5,3-3,14-3,0-0

33,31,VCU,Atlantic 10,25-7,8-4,1-2,16-1,0-0

36,36,Ole Miss,SEC,20-12,6-5,3-2,11-5,0-0

37,38,Oklahoma,Big 12,19-13,5-7,3-2,11-4,0-0

39,39,Baylor,Big 12,19-13,5-6,1-2,13-5,0-0

40,40,Washington,Pac-12,26-7,7-4,4-2,15-1,0-0

41,43,New Mexico St,WAC,29-4,10-2,3-1,14-1,2-0

43,44,Syracuse,ACC,20-13,6-4,1-3,13-6,0-0

44,41,Iowa,Big Ten,22-11,4-6,4-1,14-4,0-0

45,45,Murray St,OVC,27-4,10-3,2-0,13-1,2-0

47,46,Belmont,OVC,26-5,12-3,1-1,12-1,1-0

54,51,Temple,AAC,23-9,8-5,2-2,13-2,0-0

55,55,Ohio St,Big Ten,19-14,5-7,2-1,12-6,0-0

56,56,Oregon,Pac-12,22-12,5-7,4-1,13-4,0-0

57,57,Minnesota,Big Ten,21-12,2-9,6-0,13-3,0-0

58,59,Seton Hall,Big East,20-12,3-8,6-0,11-4,0-0

60,61,Liberty,ASUN,28-6,11-3,1-2,13-1,3-0

63,63,Arizona St,Pac-12,22-10,6-5,3-2,13-3,0-0

72,72,St John's (NY),Big East,21-12,4-7,3-0,14-5,0-0

73,73,UC Irvine,Big West,29-5,13-2,4-1,11-2,1-0

75,76,Vermont,America East,26-6,11-4,0-0,14-2,1-0

78,79,Northeastern,CAA,23-10,8-6,4-2,11-2,0-0

85,85,Yale,Ivy League,20-7,8-5,2-0,9-2,1-0

101,97,Old Dominion,C-USA,25-8,8-4,3-2,14-2,0-0

110,113,Saint Louis,Atlantic 10,21-12,4-8,2-2,15-2,0-0

115,112,Northern Ky,Horizon,26-8,7-7,2-0,15-1,2-0

123,129,Montana,Big Sky,25-8,9-5,4-1,10-2,2-0

128,126,Georgia St,Sun Belt,22-9,7-7,2-1,12-1,1-0

131,131,Colgate,Patriot,24-10,9-9,0-0,14-1,1-0

155,154,Abilene Christian,Southland,26-6,10-4,3-0,9-2,4-0

173,172,Gardner-Webb,Big South,23-11,8-9,2-2,10-0,3-0

174,176,Bradley,MVC,20-14,5-8,5-0,9-6,1-0

202,202,Iona,MAAC,17-15,6-9,3-3,8-3,0-0

203,203,Fairleigh Dickinson,NEC,20-13,7-9,0-0,11-4,2-0

207,209,Prairie View,SWAC,21-12,9-12,1-0,10-0,1-0

222,222,North Dakota St,Summit League,18-15,4-9,4-3,8-3,2-0

305,306,NC Central,MEAC,17-15,4-12,3-1,7-2,3-0

